species,genus,family
Cynanchica boissieri,Cynanchica,Rubiaceae
Hedyotis hainanensis,Hedyotis,Rubiaceae
Cynanchica bryoides,Cynanchica,Rubiaceae
Hedyotis marginata,Hedyotis,Rubiaceae
Hedyotis rugosa,Hedyotis,Rubiaceae
Hedyotis barberi,Hedyotis,Rubiaceae
Leptactina angolensis,Leptactina,Rubiaceae
Benkara pierrei,Benkara,Rubiaceae
Rosenbergiodendron longiflorum,Rosenbergiodendron,Rubiaceae
Megacodon venosus,Megacodon,Gentianaceae
Machaonia ottonis,Machaonia,Rubiaceae
Funastrum flavum,Funastrum,Apocynaceae
Sericanthe petitii,Sericanthe,Rubiaceae
Chimarrhis cubensis,Chimarrhis,Rubiaceae
Mitracarpus frigidus,Mitracarpus,Rubiaceae
Palicourea pullei,Palicourea,Rubiaceae
Palicourea megalantha,Palicourea,Rubiaceae
Palicourea flaviflora,Palicourea,Rubiaceae
Palicourea tacarcunensis,Palicourea,Rubiaceae
Palicourea simiarum,Palicourea,Rubiaceae
Secamone penangiana,Secamone,Apocynaceae
Willughbeia angustifolia,Willughbeia,Apocynaceae
Heterostemma disciflorum,Heterostemma,Apocynaceae
Palicourea luxurians,Palicourea,Rubiaceae
Palicourea everardii,Palicourea,Rubiaceae
Palicourea candelabrum,Palicourea,Rubiaceae
Palicourea cairoana,Palicourea,Rubiaceae
Gentianopsis simplex,Gentianopsis,Gentianaceae
Petchia plectaneiifolia,Petchia,Apocynaceae
Palicourea vichadensis,Palicourea,Rubiaceae
Gentianopsis lutea,Gentianopsis,Gentianaceae
Coussarea graciliflora,Coussarea,Rubiaceae
Palicourea boqueronensis,Palicourea,Rubiaceae
Palicourea hyptoides,Palicourea,Rubiaceae
Petalostelma roberti,Petalostelma,Apocynaceae
Pygmaeothamnus zeyheri,Pygmaeothamnus,Rubiaceae
Matelea rhamnifolia,Matelea,Apocynaceae
Matelea inconspicua,Matelea,Apocynaceae
Pauridiantha liebrechtsiana,Pauridiantha,Rubiaceae
Matelea tigrina,Matelea,Apocynaceae
Dictyanthus eximius,Dictyanthus,Apocynaceae
Pauridiantha pyramidata,Pauridiantha,Rubiaceae
Matelea picturata,Matelea,Apocynaceae
Stephanotis abyssinica,Stephanotis,Apocynaceae
Canthium thonningii,Canthium,Rubiaceae
Leichhardtia connivens,Leichhardtia,Apocynaceae
Leichhardtia belensis,Leichhardtia,Apocynaceae
Spermacoce valens,Spermacoce,Rubiaceae
Leichhardtia variifolia,Leichhardtia,Apocynaceae
Spermacoce hepperiana,Spermacoce,Rubiaceae
Spermacoce neohispida,Spermacoce,Rubiaceae
Aidia canthioides,Aidia,Rubiaceae
Leichhardtia papuana,Leichhardtia,Apocynaceae
Spermacoce suaveolens,Spermacoce,Rubiaceae
Spermacoce marticrovettiana,Spermacoce,Rubiaceae
Aidia oxyodonta,Aidia,Rubiaceae
Spermacoce argentea,Spermacoce,Rubiaceae
Leichhardtia spathulata,Leichhardtia,Apocynaceae
Spermacoce johnwoodii,Spermacoce,Rubiaceae
Aspidoglossum woodii,Aspidoglossum,Apocynaceae
Myrmephytum selebicum,Myrmephytum,Rubiaceae
Nostolachma jenkinsii,Nostolachma,Rubiaceae
Stapeliopsis pillansii,Stapeliopsis,Apocynaceae
Psydrax occidentalis,Psydrax,Rubiaceae
Galianthe chodatiana,Galianthe,Rubiaceae
Gynochthodes ammitia,Gynochthodes,Rubiaceae
Cryptolepis intricata,Cryptolepis,Apocynaceae
Dischidia major,Dischidia,Apocynaceae
Morinda elliptica,Morinda,Rubiaceae
Morilloa lutea,Morilloa,Apocynaceae
Wrightia dubia,Wrightia,Apocynaceae
Lasianthus thwaitesii,Lasianthus,Rubiaceae
Centaurium maritimum,Centaurium,Gentianaceae
Orianthera campanulata,Orianthera,Loganiaceae
Pavetta zeylanica,Pavetta,Rubiaceae
Geniostoma waialealae,Geniostoma,Loganiaceae
Tromotriche baylissii,Tromotriche,Apocynaceae
Phyllanthera multinervosa,Phyllanthera,Apocynaceae
Philibertia tucumanensis,Philibertia,Apocynaceae
Amaracarpus nouhuizii,Amaracarpus,Rubiaceae
Crobylanthe pellacalyx,Crobylanthe,Rubiaceae
Rudgea canephorantha,Rudgea,Rubiaceae
Rothmannia talbotii,Rothmannia,Rubiaceae
Prismatomeris borneensis,Prismatomeris,Rubiaceae
Halenia gracilis,Halenia,Gentianaceae
Halenia recurva,Halenia,Gentianaceae
Halenia brevicornis,Halenia,Gentianaceae
Ladenbergia acutifolia,Ladenbergia,Rubiaceae
Gentianella narcissoides,Gentianella,Gentianaceae
Gentianella tortuosa,Gentianella,Gentianaceae
Tournefortiopsis hirsuta,Tournefortiopsis,Rubiaceae
Gentianella selaginifolia,Gentianella,Gentianaceae
Gentianella hypericoides,Gentianella,Gentianaceae
Wendlandia pendula,Wendlandia,Rubiaceae
Stenotis asperuloides,Stenotis,Rubiaceae
Thliphthisa microphylla,Thliphthisa,Rubiaceae
Ladenbergia heterophylla,Ladenbergia,Rubiaceae
Arcytophyllum setosum,Arcytophyllum,Rubiaceae
Vincetoxicum oligophyllum,Vincetoxicum,Apocynaceae
Molongum zschokkeiforme,Molongum,Apocynaceae
Vincetoxicum coddii,Vincetoxicum,Apocynaceae
Vincetoxicum josephrockii,Vincetoxicum,Apocynaceae
Gonzalagunia stenostachya,Gonzalagunia,Rubiaceae
Vincetoxicum cambodiense,Vincetoxicum,Apocynaceae
Orbea circes,Orbea,Apocynaceae
Kibatalia macgregorii,Kibatalia,Apocynaceae
Vincetoxicum liebianum,Vincetoxicum,Apocynaceae
Vincetoxicum taiwanense,Vincetoxicum,Apocynaceae
Vincetoxicum sarasinorum,Vincetoxicum,Apocynaceae
Vincetoxicum schmalhausenii,Vincetoxicum,Apocynaceae
Orbea ciliata,Orbea,Apocynaceae
Vincetoxicum uncinatum,Vincetoxicum,Apocynaceae
Saprosma fragrans,Saprosma,Rubiaceae
Mesechites roseus,Mesechites,Apocynaceae
Ophiorrhiza capitata,Ophiorrhiza,Rubiaceae
Ophiorrhiza wangii,Ophiorrhiza,Rubiaceae
Sabicea sanguinosa,Sabicea,Rubiaceae
Ophiorrhiza vietnamensis,Ophiorrhiza,Rubiaceae
Roraimaea coccinea,Roraimaea,Gentianaceae
Solenandra mexicana,Solenandra,Rubiaceae
Oldenlandia bicornuta,Oldenlandia,Rubiaceae
Sabicea asperula,Sabicea,Rubiaceae
Ophiorrhiza coccinea,Ophiorrhiza,Rubiaceae
Solenandra lineata,Solenandra,Rubiaceae
Arachnothryx tuxtlensis,Arachnothryx,Rubiaceae
Argostemma kurzii,Argostemma,Rubiaceae
Arachnothryx megalantha,Arachnothryx,Rubiaceae
Declieuxia tenuiflora,Declieuxia,Rubiaceae
Arachnothryx povedae,Arachnothryx,Rubiaceae
Heinsia zanzibarica,Heinsia,Rubiaceae
Arachnothryx rzedowskii,Arachnothryx,Rubiaceae
Eumachia vaupelii,Eumachia,Rubiaceae
Sinoswertia tetraptera,Sinoswertia,Gentianaceae
Mucoa duckei,Mucoa,Apocynaceae
Larsenaikia suffruticosa,Larsenaikia,Rubiaceae
Oxyceros patulus,Oxyceros,Rubiaceae
Rytigynia neglecta,Rytigynia,Rubiaceae
Rytigynia gracilipetiolata,Rytigynia,Rubiaceae
Rytigynia beniensis,Rytigynia,Rubiaceae
Ruehssia lanata,Ruehssia,Apocynaceae
Ruehssia ecuadorensis,Ruehssia,Apocynaceae
Xanthophytum attopevense,Xanthophytum,Rubiaceae
Ruehssia mollis,Ruehssia,Apocynaceae
Ruehssia gallardoae,Ruehssia,Apocynaceae
Ruehssia colombiana,Ruehssia,Apocynaceae
Chomelia parvifolia,Chomelia,Rubiaceae
Chloropetalum obtusiflorum,Chloropetalum,Apocynaceae
Nauclea diderrichii,Nauclea,Rubiaceae
Coussarea panurensis,Coussarea,Rubiaceae
Secamone letouzeana,Secamone,Apocynaceae
Ronabea isanae,Ronabea,Rubiaceae
Pseudolithos dodsonianus,Pseudolithos,Apocynaceae
Palicourea padifolia,Palicourea,Rubiaceae
Palicourea argentinensis,Palicourea,Rubiaceae
Palicourea egensis,Palicourea,Rubiaceae
Palicourea vareschii,Palicourea,Rubiaceae
Palicourea chrysotricha,Palicourea,Rubiaceae
Palicourea tepuiensis,Palicourea,Rubiaceae
Palicourea barnebyana,Palicourea,Rubiaceae
Simira ecuadorensis,Simira,Rubiaceae
Condaminea microcarpa,Condaminea,Rubiaceae
Mycetia stipulata,Mycetia,Rubiaceae
Piaranthus geminatus,Piaranthus,Apocynaceae
Didymosalpinx abbeokutae,Didymosalpinx,Rubiaceae
Hexasepalum scandens,Hexasepalum,Rubiaceae
Condaminea corymbosa,Condaminea,Rubiaceae
Tarenna grandiflora,Tarenna,Rubiaceae
Tarenna gracilis,Tarenna,Rubiaceae
Tarenna insularis,Tarenna,Rubiaceae
Ditassa franciscoi,Ditassa,Apocynaceae
Tarenna loheri,Tarenna,Rubiaceae
Schradera elmeri,Schradera,Rubiaceae
Asclepias cordifolia,Asclepias,Apocynaceae
Strychnos dalzellii,Strychnos,Loganiaceae
Metastelma pauciflorum,Metastelma,Apocynaceae
Metagentiana leptoclada,Metagentiana,Gentianaceae
Metastelma dorrii,Metastelma,Apocynaceae
Metastelma hirtellum,Metastelma,Apocynaceae
Lecananthus pentander,Lecananthus,Rubiaceae
Alafia multiflora,Alafia,Apocynaceae
Coptosperma borbonicum,Coptosperma,Rubiaceae
Ornichia madagascariensis,Ornichia,Gentianaceae
Notopleura aligera,Notopleura,Rubiaceae
Notopleura uliginosa,Notopleura,Rubiaceae
Notopleura lateriflora,Notopleura,Rubiaceae
Notopleura pithecobia,Notopleura,Rubiaceae
Dolichopentas longiflora,Dolichopentas,Rubiaceae
Finlaysonia lanuginosa,Finlaysonia,Apocynaceae
Mandevilla hesperia,Mandevilla,Apocynaceae
Mandevilla scabra,Mandevilla,Apocynaceae
Mandevilla widgrenii,Mandevilla,Apocynaceae
Atractocarpus longipes,Atractocarpus,Rubiaceae
Peponidium marojejyense,Peponidium,Rubiaceae
Cynanchum leptolepis,Cynanchum,Apocynaceae
Cynanchum areysianum,Cynanchum,Apocynaceae
Cynanchum gilbertii,Cynanchum,Apocynaceae
Cynanchum revoilii,Cynanchum,Apocynaceae
Cynanchum brasiliense,Cynanchum,Apocynaceae
Gardenia flava,Gardenia,Rubiaceae
Congolanthus longidens,Congolanthus,Gentianaceae
Stenostelma eustegioides,Stenostelma,Apocynaceae
