,taxon_name,family
620824,Rhyssolobium,Apocynaceae
633322,Prepusa,Gentianaceae
633657,Deppea,Rubiaceae
633929,Durringtonia,Rubiaceae
634171,Leptostigma,Rubiaceae
634373,Pagamea,Rubiaceae
634478,Rauvolfia,Apocynaceae
634556,Sherbournia,Rubiaceae
634631,Urophyllum,Rubiaceae
636223,Kuepferia,Gentianaceae
637350,Helia,Gentianaceae
638676,Damnacanthus,Rubiaceae
638966,Fadogiella,Rubiaceae
639016,Macbrideina,Rubiaceae
639402,Peplonia,Apocynaceae
639413,Tromotriche,Apocynaceae
643042,× Galiasperula,Rubiaceae
643065,Gardeniopsis,Rubiaceae
644805,Heterophyllaea,Rubiaceae
644843,Keetia,Rubiaceae
644962,Pagameopsis,Rubiaceae
645668,Notechidnopsis,Apocynaceae
647159,Cracosna,Gentianaceae
648754,Xestaea,Gentianaceae
650322,Ceriscoides,Rubiaceae
650393,Dialypetalanthus,Rubiaceae
650433,Luculia,Rubiaceae
653080,Chamaepentas,Rubiaceae
657223,Valantia,Rubiaceae
657404,Swertia,Gentianaceae
657481,Spigelia,Loganiaceae
657499,Pseudohamelia,Rubiaceae
658237,Bertiera,Rubiaceae
658604,Diyaminauclea,Rubiaceae
658803,Fergusonia,Rubiaceae
658883,Hutchinsonia,Rubiaceae
658905,Kadua,Rubiaceae
658991,Mantalania,Rubiaceae
659046,Neanotis,Rubiaceae
659140,Plocama,Rubiaceae
659246,Spongiosperma,Apocynaceae
660447,Gymnema,Apocynaceae
660453,× Hoodiotriche,Apocynaceae
660464,Nautonia,Apocynaceae
662728,Melanopsidium,Rubiaceae
662774,Landiopsis,Rubiaceae
663086,Appunia,Rubiaceae
663171,Exallage,Rubiaceae
663873,Calciphila,Apocynaceae
665359,Cristobalia,Apocynaceae
665915,Alstonia,Apocynaceae
666081,Phellocalyx,Rubiaceae
666371,Carajasia,Rubiaceae
666381,Schistonema,Apocynaceae
666525,Mitreola,Loganiaceae
666756,Klackenbergia,Gentianaceae
667929,Geniostemon,Gentianaceae
668879,Purdieanthus,Gentianaceae
669939,Rothmannia,Rubiaceae
670302,Alibertia,Rubiaceae
670376,Atractogyne,Rubiaceae
670419,Carapichea,Rubiaceae
670630,Hylaea,Apocynaceae
670632,Hyperacanthus,Rubiaceae
670745,Ottoschmidtia,Rubiaceae
670881,Tapanhuacanga,Rubiaceae
671305,Triflorensia,Rubiaceae
671532,Cordylogyne,Apocynaceae
671563,Orbea,Apocynaceae
673512,Tricalysia,Rubiaceae
674405,Antherostele,Rubiaceae
674617,Dendrosipanea,Rubiaceae
674768,Lemyrea,Rubiaceae
674949,Riodocea,Rubiaceae
674984,Stephanostema,Apocynaceae
675918,Camptocarpus,Apocynaceae
675952,Fanninia,Apocynaceae
675953,Glossostelma,Apocynaceae
675960,Macroscepis,Apocynaceae
675961,Mahawoa,Apocynaceae
675981,Stathmostelma,Apocynaceae
675982,Tetragonocarpus,Apocynaceae
676007,Vincetoxicum,Apocynaceae
676958,Shaolinchiana,Rubiaceae
678564,Trichostachys,Rubiaceae
680411,Diodia,Rubiaceae
680412,Diplospora,Rubiaceae
681026,Secamonopsis,Apocynaceae
681080,Suberogerens,Apocynaceae
683128,Secondatia,Apocynaceae
683176,Remijia,Rubiaceae
683745,Dolianthus,Rubiaceae
683820,Globulostylis,Rubiaceae
683825,Gonzalagunia,Rubiaceae
684013,Otiophora,Rubiaceae
684099,Pycnobotrya,Apocynaceae
684171,Pitardella,Rubiaceae
684677,Nephradenia,Apocynaceae
684700,Pruskortizia,Apocynaceae
684850,Oreonesion,Gentianaceae
688410,Porterandia,Rubiaceae
688916,Ixora,Rubiaceae
688943,Janotia,Rubiaceae
689226,Bremeria,Rubiaceae
689476,Huernia,Apocynaceae
690812,Omiltemia,Rubiaceae
690959,Alyxia,Apocynaceae
690965,Boholia,Rubiaceae
690967,Bothriospora,Rubiaceae
691396,Tinadendron,Rubiaceae
691540,× Staparesia,Apocynaceae
693474,Bartonia,Gentianaceae
695644,Vahadenia,Apocynaceae
695774,Raritebe,Rubiaceae
696425,Anechites,Apocynaceae
696467,Brenania,Rubiaceae
696600,Cyanoneuron,Rubiaceae
696705,Feretia,Rubiaceae
696990,Squamellaria,Rubiaceae
699904,Lepinia,Apocynaceae
700221,Acrosynanthus,Rubiaceae
700619,Rosenbergiodendron,Rubiaceae
701484,Planaltina,Rubiaceae
701556,Cosmostigma,Apocynaceae
701562,Edrastima,Rubiaceae
701587,Kerbera,Apocynaceae
701645,Singaporandia,Rubiaceae
701660,Paranotis,Rubiaceae
703429,Schizacme,Loganiaceae
705046,Morelia,Rubiaceae
705544,Glossostipula,Rubiaceae
706084,Schizostephanus,Apocynaceae
708215,Coryphothamnus,Rubiaceae
708355,Ixodonerium,Apocynaceae
708493,Stephanococcus,Rubiaceae
709009,Aspidoglossum,Apocynaceae
709070,Pachycarpus,Apocynaceae
709078,Stapeliopsis,Apocynaceae
709097,Treutlera,Apocynaceae
709607,Usteria,Loganiaceae
711481,Didymopogon,Rubiaceae
711698,Schmidtottia,Rubiaceae
711716,Skytanthus,Apocynaceae
711744,Vallesia,Apocynaceae
712071,Achilleanthus,Rubiaceae
714253,Myrmephytum,Rubiaceae
714347,Rennellia,Rubiaceae
717071,Micrasepalum,Rubiaceae
717371,Crossopteryx,Rubiaceae
717473,Macropharynx,Apocynaceae
718106,Jaeschkea,Gentianaceae
719660,Rovaeanthus,Rubiaceae
720240,Timonius,Rubiaceae
720243,Tintinnabularia,Apocynaceae
723237,Jovetia,Rubiaceae
723291,Morinda,Rubiaceae
723295,Motandra,Apocynaceae
723913,Rhodopentas,Rubiaceae
725270,Lagenanthus,Gentianaceae
753742,Pycnosphaera,Gentianaceae
753864,Pteleocarpa,Gelsemiaceae
755080,Anodendron,Apocynaceae
755109,Canephora,Rubiaceae
755334,Cascabela,Apocynaceae
755354,Cephalanthus,Rubiaceae
755388,Coffea,Rubiaceae
755393,Coelospermum,Rubiaceae
755608,Eumachia,Rubiaceae
755618,Faramea,Rubiaceae
755790,Leptopetalum,Rubiaceae
756037,Parsonsia,Apocynaceae
756316,Warszewiczia,Rubiaceae
757631,Anisopus,Apocynaceae
757636,Batesanthus,Apocynaceae
759277,Sinoswertia,Gentianaceae
760983,Anisotoma,Apocynaceae
761344,Zygostigma,Gentianaceae
761957,Scleromitrion,Rubiaceae
762869,Chamaeclitandra,Apocynaceae
763046,Haplophyton,Apocynaceae
763140,Machaonia,Rubiaceae
763164,Mussaendopsis,Rubiaceae
763231,Platycarpum,Rubiaceae
763285,Rhabdadenia,Apocynaceae
764357,Funastrum,Apocynaceae
764376,Periglossum,Apocynaceae
764493,Ridsdalea,Rubiaceae
764534,Hexaphylla,Rubiaceae
767356,Malanea,Rubiaceae
767659,Corynanthe,Rubiaceae
767780,Microplumeria,Apocynaceae
768257,Echidnopsis,Apocynaceae
768258,Epistemma,Apocynaceae
768275,Margaretta,Apocynaceae
768303,Tassadia,Apocynaceae
770001,Vidalasia,Rubiaceae
770348,Amaioua,Rubiaceae
770445,Emmeorhiza,Rubiaceae
770976,Scyphostelma,Apocynaceae
773655,Cinchona,Rubiaceae
773716,Eriosemopsis,Rubiaceae
773892,Pavetta,Rubiaceae
773998,Wrightia,Apocynaceae
774001,Pseudodiplospora,Rubiaceae
774671,Barjonia,Apocynaceae
774690,Microloma,Apocynaceae
779127,Calycosiphonia,Rubiaceae
779213,Nichallea,Rubiaceae
779227,Oncinotis,Apocynaceae
779624,Riocreuxia,Apocynaceae
782163,Frasera,Gentianaceae
782302,Aleisanthia,Rubiaceae
782325,Antirhea,Rubiaceae
782332,Apocynum,Apocynaceae
782726,Phuopsis,Rubiaceae
783386,Puffia,Rubiaceae
783536,Norrisia,Loganiaceae
784991,Phialiphora,Rubiaceae
785625,Polysphaeria,Rubiaceae
785970,Blackstonia,Gentianaceae
786063,Artia,Apocynaceae
789459,Pubistylus,Rubiaceae
789615,Molopanthera,Rubiaceae
789765,Dolichometra,Rubiaceae
790172,Calycophyllum,Rubiaceae
790380,Pentanisia,Rubiaceae
790383,Perakanthus,Rubiaceae
790445,Spermadictyon,Rubiaceae
790457,Thyrsanthella,Apocynaceae
791180,Ruehssia,Apocynaceae
795680,Strophanthus,Apocynaceae
795706,Sommera,Rubiaceae
795760,Senaea,Gentianaceae
796045,Multidentia,Rubiaceae
796892,Dyera,Apocynaceae
796961,Forsteronia,Apocynaceae
797007,Hekistocarpa,Rubiaceae
797171,Maguireothamnus,Rubiaceae
797269,Odontadenia,Apocynaceae
797387,Plumeria,Apocynaceae
799156,Diadorimia,Rubiaceae
799164,Microrphium,Gentianaceae
803304,Malouetia,Apocynaceae
804034,Chomelia,Rubiaceae
804066,Coutaportla,Rubiaceae
804179,Guihaiothamnus,Rubiaceae
804456,Stephanostegia,Apocynaceae
805452,Ectadium,Apocynaceae
805549,Adolphoduckea,Rubiaceae
805554,Canthiumera,Rubiaceae
805560,Dibridsonia,Rubiaceae
809517,Rytigynia,Rubiaceae
809630,Pentodon,Rubiaceae
810398,Gomphocalyx,Rubiaceae
810496,Pentaloncha,Rubiaceae
810497,Pentanopsis,Rubiaceae
810498,Petitiocodon,Rubiaceae
810590,Tocoyena,Rubiaceae
810624,Xanthophytum,Rubiaceae
815697,Urceola,Apocynaceae
815787,Saldinia,Rubiaceae
815790,Rubia,Rubiaceae
815937,Parachimarrhis,Rubiaceae
816244,Chilocarpus,Apocynaceae
816682,Batopedina,Rubiaceae
816710,Breonia,Rubiaceae
816751,Carphalea,Rubiaceae
816755,Carvalhoa,Apocynaceae
816901,Cycladenia,Apocynaceae
817487,Neoblakea,Rubiaceae
817664,Tarenna,Rubiaceae
819062,Decalepis,Apocynaceae
819106,Miraglossum,Apocynaceae
819109,Mondia,Apocynaceae
819113,Monolluma,Apocynaceae
819122,Paracarphalea,Rubiaceae
823562,Lepidostoma,Rubiaceae
824303,Anthospermum,Rubiaceae
824633,Homollea,Rubiaceae
824638,Isonema,Apocynaceae
824798,Robynsia,Rubiaceae
825818,Ditassa,Apocynaceae
825820,Emplectanthus,Apocynaceae
825846,Lavrania,Apocynaceae
825849,Marsdenia,Apocynaceae
825855,Oxypetalum,Apocynaceae
828832,Karina,Gentianaceae
828872,Tarennella,Rubiaceae
829862,Adenolisianthus,Gentianaceae
830066,Cubanola,Rubiaceae
830384,Cameraria,Apocynaceae
830404,Coptosapelta,Rubiaceae
830609,Galopina,Rubiaceae
830741,Oligocodon,Rubiaceae
830777,Pentagonia,Rubiaceae
830864,Schizocalyx,Rubiaceae
830898,Sindechites,Apocynaceae
831390,Pinochia,Apocynaceae
831757,Pseudolachnostoma,Apocynaceae
831836,Ramonadoxa,Rubiaceae
832093,Duplipetala,Gentianaceae
832261,Hockinia,Gentianaceae
834522,Veratrilla,Gentianaceae
837171,Alafia,Apocynaceae
837660,Hymenocoleus,Rubiaceae
838425,Phyllis,Rubiaceae
838434,Pinckneya,Rubiaceae
838639,Uncaria,Rubiaceae
838663,Agouticarpa,Rubiaceae
839816,Asclepias,Apocynaceae
839832,Dischidanthus,Apocynaceae
839836,Hoodia,Apocynaceae
839861,Metastelma,Apocynaceae
840007,Lehmanniella,Gentianaceae
840058,Deianira,Gentianaceae
840255,Metagentiana,Gentianaceae
840900,Tachiadenus,Gentianaceae
841794,Exaculum,Gentianaceae
841812,Eustoma,Gentianaceae
843203,Voyriella,Gentianaceae
844460,Nargedia,Rubiaceae
845272,Cerberiopsis,Apocynaceae
845447,Gyrostipula,Rubiaceae
845458,Hedstromia,Rubiaceae
845461,Hindsia,Rubiaceae
845479,Lecananthus,Rubiaceae
846710,Blepharodon,Apocynaceae
846873,Orinoquia,Apocynaceae
847289,Schradera,Rubiaceae
850859,Strychnos,Loganiaceae
851405,Bousigonia,Apocynaceae
851529,Clitandra,Apocynaceae
851877,Perama,Rubiaceae
852721,Sacleuxia,Apocynaceae
852802,Atrostemma,Apocynaceae
857185,Temnadenia,Apocynaceae
858080,Atractocarpus,Rubiaceae
858365,Cyclophyllum,Rubiaceae
858490,Duroia,Rubiaceae
858515,Ernodea,Rubiaceae
858802,Mandevilla,Apocynaceae
858908,Pachypodium,Apocynaceae
858949,Pittoniotis,Rubiaceae
860016,Dolichopentas,Rubiaceae
860288,Baynesia,Apocynaceae
860308,Gymnemopsis,Apocynaceae
860322,Monsanima,Apocynaceae
864584,Strumpfia,Rubiaceae
864827,Nematostylis,Rubiaceae
865812,Chiococca,Rubiaceae
865831,Craspidospermum,Apocynaceae
866111,Hippotis,Rubiaceae
866416,Rachicallis,Rubiaceae
866418,Rhaphidura,Rubiaceae
867494,Caudanthera,Apocynaceae
867503,Finlaysonia,Apocynaceae
867536,Oxystelma,Apocynaceae
867554,Stelmagonum,Apocynaceae
867565,Tridentea,Apocynaceae
868000,Sinogentiana,Gentianaceae
869046,Irlbachia,Gentianaceae
871398,Zuccarinia,Rubiaceae
871662,Manothrix,Apocynaceae
872283,Emmenopterys,Rubiaceae
872306,Eosanthe,Rubiaceae
872419,Isertia,Rubiaceae
872450,Melodinus,Apocynaceae
872490,Oldenlandiopsis,Rubiaceae
873366,Rojasia,Apocynaceae
874033,Mitrasacme,Loganiaceae
877953,Tessiera,Rubiaceae
878983,Alleizettella,Rubiaceae
879185,Catunaregam,Rubiaceae
879202,Cerbera,Apocynaceae
880243,Afrocanthium,Rubiaceae
880248,Pseudomiltemia,Rubiaceae
881409,Cynanchum,Apocynaceae
881458,Neoschumannia,Apocynaceae
881645,Lomatogoniopsis,Gentianaceae
881648,Lomatogonium,Gentianaceae
885106,Vallaris,Apocynaceae
886436,Polyura,Rubiaceae
886795,Etericius,Rubiaceae
887495,Himatanthus,Apocynaceae
887537,Kraussia,Rubiaceae
887548,Lathraeocarpa,Rubiaceae
887719,Rondeletia,Rubiaceae
887756,Staelia,Rubiaceae
887764,Steyermarkia,Rubiaceae
888649,Emicocarpus,Apocynaceae
888663,Ischnolepis,Apocynaceae
888674,Pentasacme,Apocynaceae
888677,Telosma,Apocynaceae
889726,Congolanthus,Gentianaceae
893361,Tobagoa,Rubiaceae
893707,Brachytome,Rubiaceae
893715,Colletoecema,Rubiaceae
893882,Vinca,Apocynaceae
894252,Atherandra,Apocynaceae
894280,Woodia,Apocynaceae
894942,Talayotea,Apocynaceae
895851,Schizomussaenda,Rubiaceae
895898,Rustia,Rubiaceae
896154,Phyllopentas,Rubiaceae
896207,Aleisanthiopsis,Rubiaceae
896383,Echites,Apocynaceae
896580,Pinarophyllon,Rubiaceae
897203,Araujia,Apocynaceae
897443,Neurotheca,Gentianaceae
899489,Thiollierea,Rubiaceae
899657,Hydrophylax,Rubiaceae
899833,Cleghornia,Apocynaceae
899929,Craterispermum,Rubiaceae
899948,Crobylanthe,Rubiaceae
900066,Knoxia,Rubiaceae
900640,Calyptranthera,Apocynaceae
900686,Helictosperma,Rubiaceae
900711,Dolichocarpa,Rubiaceae
905082,Prismatomeris,Rubiaceae
905443,Casasia,Rubiaceae
905469,Clarkella,Rubiaceae
905498,Elaeagia,Rubiaceae
905575,Leptomischus,Rubiaceae
905642,Mitragyna,Rubiaceae
905673,Pouchetia,Rubiaceae
906961,Halenia,Gentianaceae
908470,Anthorrhiza,Rubiaceae
910455,Rogersonanthus,Gentianaceae
911018,Kochummenia,Rubiaceae
911426,Galium,Rubiaceae
911487,Normandia,Rubiaceae
914585,Bathysa,Rubiaceae
914733,Duperrea,Rubiaceae
914834,Lepiniopsis,Apocynaceae
915633,Baseonema,Apocynaceae
918258,Chalepophyllum,Rubiaceae
918351,Phialanthus,Rubiaceae
919058,Melanoxerus,Rubiaceae
921209,Mesechites,Apocynaceae
921630,Zygostelma,Apocynaceae
921677,Tainus,Rubiaceae
921871,Gentianothamnus,Gentianaceae
922299,Urogentias,Gentianaceae
922665,Chorisepalum,Gentianaceae
923760,Solenandra,Rubiaceae
923881,Paracephaelis,Rubiaceae
923897,Otomeria,Rubiaceae
924397,Hyptianthera,Rubiaceae
924575,Pottsia,Apocynaceae
925121,Oreosparte,Apocynaceae
925268,Neblinantha,Gentianaceae
927013,Zonanthus,Gentianaceae
927315,Sabicea,Rubiaceae
927608,Eustegia,Apocynaceae
933461,Mortoniella,Apocynaceae
933794,Argostemma,Rubiaceae
933827,Berghesia,Rubiaceae
934100,Eleuthranthes,Rubiaceae
934225,Heinsia,Rubiaceae
934396,Scyphiphora,Rubiaceae
937011,Arachnothryx,Rubiaceae
938728,Geissospermum,Apocynaceae
938873,Tabernaemontana,Apocynaceae
1066334,Aitchisonia,Rubiaceae
1066654,Gardenia,Rubiaceae
1066752,Nodocarpaea,Rubiaceae
1066800,Peponidium,Rubiaceae
1067627,Sarcolobus,Apocynaceae
1067644,Sicyocarpus,Apocynaceae
1067646,Stapelia,Apocynaceae
1068150,Gongreos,Apocynaceae
1068943,Lucya,Rubiaceae
1069397,Cyrtophyllum,Gentianaceae
1071832,Schizenterospermum,Rubiaceae
1072035,Paragenipa,Rubiaceae
1072090,Mascarenhasia,Apocynaceae
1072723,Arcytophyllum,Rubiaceae
1072848,Carissa,Apocynaceae
1072850,Carruthersia,Apocynaceae
1073111,Farquharia,Apocynaceae
1073122,Fosbergia,Rubiaceae
1073150,Gleasonia,Rubiaceae
1073407,Octotropis,Rubiaceae
1073431,Oxyanthus,Rubiaceae
1073441,Parepigynum,Apocynaceae
1073687,Wendlandia,Rubiaceae
1073692,Stenotis,Rubiaceae
1074821,Cionura,Apocynaceae
1075077,Gentianella,Gentianaceae
1080494,Ladenbergia,Rubiaceae
1080504,Lelya,Rubiaceae
1080649,Stenostomum,Rubiaceae
1081692,Astephanus,Apocynaceae
1081696,Caralluma,Apocynaceae
1081762,Pherotrichis,Apocynaceae
1081873,Thliphthisa,Rubiaceae
1085718,Tournefortiopsis,Rubiaceae
1085979,Ecua,Apocynaceae
1086254,Aidiopsis,Rubiaceae
1086256,Airosperma,Rubiaceae
1086312,Callipeltis,Rubiaceae
1086684,Opercularia,Rubiaceae
1086745,Pseudomussaenda,Rubiaceae
1087515,Quaqua,Apocynaceae
1088750,Asperula,Rubiaceae
1091295,Bungarimba,Rubiaceae
1092211,Phyllomelia,Rubiaceae
1092835,Astiella,Rubiaceae
1093107,Epigynum,Apocynaceae
1093199,Gaertnera,Rubiaceae
1093386,Leptoscela,Rubiaceae
1093428,Manettia,Rubiaceae
1093467,Mitchella,Rubiaceae
1093472,Morindopsis,Rubiaceae
1093481,Neonauclea,Rubiaceae
1094833,Bullockia,Rubiaceae
1094871,Dalzielia,Apocynaceae
1094875,Desmidorchis,Apocynaceae
1094878,Hemidesmus,Apocynaceae
1094885,Minaria,Apocynaceae
1094888,Myriopteron,Apocynaceae
1100252,Cowiea,Rubiaceae
1100307,Dibrachionostylus,Rubiaceae
1100446,Kohautia,Rubiaceae
1100495,Microphysa,Rubiaceae
1100636,Roigella,Rubiaceae
1100651,Stevensia,Rubiaceae
1100655,Stipularia,Rubiaceae
1102810,Crawfurdia,Gentianaceae
1105520,Steenisia,Rubiaceae
1106111,Acunaeanthus,Rubiaceae
1106152,Amalocalyx,Apocynaceae
1106235,Coprosma,Rubiaceae
1106281,Dictyophleba,Apocynaceae
1106300,Empogona,Rubiaceae
1107287,Richtersveldia,Apocynaceae
1108799,Enicostema,Gentianaceae
1110306,Cynanchica,Rubiaceae
1110796,Ciliosemina,Rubiaceae
1111128,Picrophloeus,Gentianaceae
1111589,Pseudopyxis,Rubiaceae
1111844,Henriquezia,Rubiaceae
1112192,Chelonanthus,Gentianaceae
1112363,Angadenia,Apocynaceae
1112535,Breonadia,Rubiaceae
1112790,Crusea,Rubiaceae
1112791,Cyclocotyla,Apocynaceae
1113016,Flagenium,Rubiaceae
1113036,Greeniopsis,Rubiaceae
1113068,Hypobathrum,Rubiaceae
1113086,Landolphia,Apocynaceae
1113110,Leptactina,Rubiaceae
1113308,Pimentelia,Rubiaceae
1114929,Cibirhiza,Apocynaceae
1115855,Adelphacme,Loganiaceae
1119423,Thenardia,Apocynaceae
1119483,Siphonandrium,Rubiaceae
1119506,Schwendenera,Rubiaceae
1119693,Nernstia,Rubiaceae
1119702,Neolamarckia,Rubiaceae
1119890,Holarrhena,Apocynaceae
1120410,Amphiasma,Rubiaceae
1120453,Badusa,Rubiaceae
1120769,Hedyotis,Rubiaceae
1120792,Holstianthus,Rubiaceae
1121103,Strempeliopsis,Apocynaceae
1122092,Hoya,Apocynaceae
1122128,Streptocaulon,Apocynaceae
1122130,Toxocarpus,Apocynaceae
1122241,Lintersemina,Rubiaceae
1145792,Saccifolium,Gentianaceae
1145799,Rhigospira,Apocynaceae
1146404,Alseis,Rubiaceae
1146630,Dioicodendron,Rubiaceae
1148993,Declieuxia,Rubiaceae
1149016,Dentella,Rubiaceae
1149187,Portlandia,Rubiaceae
1149197,Temnocalyx,Rubiaceae
1149354,Pseudogalium,Rubiaceae
1149637,Brargentina,Apocynaceae
1149640,Gongronemopsis,Apocynaceae
1152133,Aulacocalyx,Rubiaceae
1152139,Benkara,Rubiaceae
1152175,Burchellia,Rubiaceae
1152246,Coelopyrena,Rubiaceae
1152500,Hymenodictyon,Rubiaceae
1152530,Leptodermis,Rubiaceae
1152583,Mussaenda,Rubiaceae
1153972,Obolaria,Gentianaceae
1157309,Neomussaenda,Rubiaceae
1157533,Guettarda,Rubiaceae
1158135,Chonemorpha,Apocynaceae
1158161,Coutarea,Rubiaceae
1158347,Habroneuron,Rubiaceae
1158383,Khasiaclunea,Rubiaceae
1158395,Larsenaikia,Rubiaceae
1158425,Laxoplumeria,Apocynaceae
1158482,Oxyceros,Rubiaceae
1158531,Pleioceras,Apocynaceae
1158573,Riqueuria,Rubiaceae
1158633,Syringantha,Rubiaceae
1158692,Tabernanthe,Apocynaceae
1159619,Involucrella,Rubiaceae
1159639,Chthamalia,Apocynaceae
1159683,Pervillaea,Apocynaceae
1159709,Tweedia,Apocynaceae
1159816,Graciemoriana,Apocynaceae
1161707,Paraknoxia,Rubiaceae
1161832,Acranthera,Rubiaceae
1161883,Bobea,Rubiaceae
1162075,Leuconotis,Apocynaceae
1162545,Rhytidocaulon,Apocynaceae
1165686,Mouretia,Rubiaceae
1165690,Mucoa,Apocynaceae
1166594,Cinchonopsis,Rubiaceae
1167265,Papuechites,Apocynaceae
1167423,Spirolobium,Apocynaceae
1169035,× Hoodiorbea,Apocynaceae
1170317,Bouvardia,Rubiaceae
1170319,Tapeinostemon,Gentianaceae
1171560,Voyria,Gentianaceae
1172102,Neblinathamnus,Rubiaceae
1172105,Neobertiera,Rubiaceae
1172205,Antonia,Loganiaceae
1172215,Hexasepalum,Rubiaceae
1172548,Catesbaea,Rubiaceae
1172571,Cremaspora,Rubiaceae
1172608,Micrechites,Apocynaceae
1172618,Mycetia,Rubiaceae
1172750,Standleya,Rubiaceae
1173392,Rotundanthus,Apocynaceae
1174220,Coutoubea,Gentianaceae
1177306,Picardaea,Rubiaceae
1177714,Adenorandia,Rubiaceae
1177756,Allamanda,Apocynaceae
1177787,Ceratopyxis,Rubiaceae
1177794,Cladoceras,Rubiaceae
1177926,Dolichodelphys,Rubiaceae
1177945,Duidania,Rubiaceae
1178322,Apteranthes,Apocynaceae
1180568,Catharanthus,Apocynaceae
1180600,Couma,Apocynaceae
1180691,Hoffmannia,Rubiaceae
1180820,Tennantia,Rubiaceae
1181383,Buckollia,Apocynaceae
1181397,Duvalia,Apocynaceae
1181410,Gomphocarpus,Apocynaceae
1181419,Jobinia,Apocynaceae
1181422,Leichhardtia,Apocynaceae
1181429,Pentopetia,Apocynaceae
1181716,Gyrandra,Gentianaceae
1182294,Lecariocalyx,Rubiaceae
1184637,Stilpnophyllum,Rubiaceae
1184698,Sebaea,Gentianaceae
1185134,Buchozia,Rubiaceae
1185730,Sherardia,Rubiaceae
1185734,Spermacoce,Rubiaceae
1185767,Tamilnadia,Rubiaceae
1185804,Triainolepis,Rubiaceae
1187198,Orthosia,Apocynaceae
1188403,Jasminanthes,Apocynaceae
1188428,Tavaresia,Apocynaceae
1190759,Coccocypselum,Rubiaceae
1190775,Coptosperma,Rubiaceae
1190942,Schizozygia,Apocynaceae
1191360,Solenostemma,Apocynaceae
1191382,Papuahoya,Apocynaceae
1193787,Shaferocharis,Rubiaceae
1194384,Bikkia,Rubiaceae
1196790,Pleiocarpa,Apocynaceae
1197451,Anemotrochus,Apocynaceae
1197993,Acokanthera,Apocynaceae
1198131,Didymaea,Rubiaceae
1198744,Pycnorhachis,Apocynaceae
1198754,Sisyranthus,Apocynaceae
1198803,Tressensia,Apocynaceae
1199712,Geniostoma,Loganiaceae
1202455,Payera,Rubiaceae
1203108,Flexanthera,Rubiaceae
1203110,Funtumia,Apocynaceae
1203119,Genipa,Rubiaceae
1203139,Patima,Rubiaceae
1215846,Chlorocyathus,Apocynaceae
1215857,Ballyanthus,Apocynaceae
1215899,Pattalias,Apocynaceae
1215992,Exallosperma,Rubiaceae
1215993,Kindia,Rubiaceae
1216008,Chloropetalum,Apocynaceae
1219577,Trachelospermum,Apocynaceae
1220318,Didymochlamys,Rubiaceae
1220393,Eucorymbia,Apocynaceae
1220533,Massularia,Rubiaceae
1220569,Merumea,Rubiaceae
