,taxon_name,family
30539,Stapelianthus,Apocynaceae
50624,Pseudolithos,Apocynaceae
51134,Wittmackanthus,Rubiaceae
89911,Topea,Apocynaceae
112832,Chaetostachydium,Rubiaceae
134140,Schumanniophyton,Rubiaceae
156380,Jackiopsis,Rubiaceae
184073,Neohymenopogon,Rubiaceae
187289,Martensianthus,Rubiaceae
199931,Ferdinandusa,Rubiaceae
200809,Coccochondra,Rubiaceae
209824,Kibatalia,Apocynaceae
220695,Denscantia,Rubiaceae
251693,Neobracea,Apocynaceae
255100,Gonolobus,Apocynaceae
276127,Sacosperma,Rubiaceae
283316,Nostolachma,Rubiaceae
299316,Virectaria,Rubiaceae
330680,Orthopichonia,Apocynaceae
340637,White-sloanea,Apocynaceae
342871,Pleiocoryne,Rubiaceae
387299,Larryleachia,Apocynaceae
576789,Lisianthius,Gentianaceae
579662,Mericarpaea,Rubiaceae
582784,Schultesia,Gentianaceae
583931,Thevetia,Apocynaceae
583975,Schenkia,Gentianaceae
583980,Symbolanthus,Gentianaceae
584120,Macrosphyra,Rubiaceae
584498,Amphineurion,Apocynaceae
584551,Asketanthera,Apocynaceae
584717,Macrocnemum,Rubiaceae
585245,Genianthus,Apocynaceae
585276,Piaranthus,Apocynaceae
585282,× Tridentapelia,Apocynaceae
585322,Jamaicanthus,Rubiaceae
588449,Agathisanthemum,Rubiaceae
588532,Carpacoce,Rubiaceae
588542,Calycosia,Rubiaceae
588622,Condaminea,Rubiaceae
588624,Conostomium,Rubiaceae
588658,Didymosalpinx,Rubiaceae
589099,Pentalinon,Apocynaceae
589255,Siemensia,Rubiaceae
593424,Robbrechtia,Rubiaceae
593970,Heynella,Apocynaceae
601471,Rhazya,Apocynaceae
602067,Aidia,Rubiaceae
602116,Calochone,Rubiaceae
602382,Ichnocarpus,Apocynaceae
603298,Ditrichanthus,Rubiaceae
603301,Sarcorrhiza,Apocynaceae
603707,Gelsemium,Gelsemiaceae
603951,Limahlania,Gentianaceae
606651,Mexotis,Rubiaceae
607433,Alberta,Rubiaceae
607503,Argocoffeopsis,Rubiaceae
607972,Ornichia,Gentianaceae
608251,Houstonia,Rubiaceae
612461,Deccania,Rubiaceae
612486,Diacrodon,Rubiaceae
612523,Hancornia,Apocynaceae
612579,Kutchubaea,Rubiaceae
612828,Stichianthus,Rubiaceae
617570,Austrochthamalia,Apocynaceae
617589,Duvaliandra,Apocynaceae
617615,Tangshuia,Rubiaceae
617617,Peruviasclepias,Apocynaceae
617618,Riparoampelos,Apocynaceae
619634,Stenosepala,Rubiaceae
620045,Euclinia,Rubiaceae
