,taxon_name,family
11181,Matelea inconspicua,Apocynaceae
11183,Pauridiantha liebrechtsiana,Rubiaceae
11195,Matelea tigrina,Apocynaceae
11202,Dictyanthus eximius,Apocynaceae
11230,Pauridiantha pyramidata,Rubiaceae
11241,Matelea picturata,Apocynaceae
11246,Stephanotis abyssinica,Apocynaceae
11287,Canthium thonningii,Rubiaceae
11300,Leichhardtia connivens,Apocynaceae
11319,Leichhardtia belensis,Apocynaceae
11327,Spermacoce valens,Rubiaceae
11333,Leichhardtia variifolia,Apocynaceae
11341,Spermacoce hepperiana,Rubiaceae
11346,Spermacoce neohispida,Rubiaceae
11348,Aidia canthioides,Rubiaceae
11352,Leichhardtia papuana,Apocynaceae
11371,Spermacoce suaveolens,Rubiaceae
11372,Spermacoce marticrovettiana,Rubiaceae
11380,Aidia oxyodonta,Rubiaceae
11385,Spermacoce argentea,Rubiaceae
11398,Leichhardtia spathulata,Apocynaceae
11399,Spermacoce johnwoodii,Rubiaceae
11418,Aspidoglossum woodii,Apocynaceae
11469,Myrmephytum selebicum,Rubiaceae
11471,Nostolachma jenkinsii,Rubiaceae
11492,Stapeliopsis pillansii,Apocynaceae
11537,Psydrax occidentalis,Rubiaceae
11575,Galianthe chodatiana,Rubiaceae
11590,Gynochthodes ammitia,Rubiaceae
11593,Cryptolepis intricata,Apocynaceae
11600,Dischidia major,Apocynaceae
11601,Morinda elliptica,Rubiaceae
11619,Morilloa lutea,Apocynaceae
11686,Wrightia dubia,Apocynaceae
11693,Lasianthus thwaitesii,Rubiaceae
11725,Centaurium maritimum,Gentianaceae
11743,Orianthera campanulata,Loganiaceae
11766,Pavetta zeylanica,Rubiaceae
11772,Geniostoma waialealae,Loganiaceae
11870,Tromotriche baylissii,Apocynaceae
11871,Phyllanthera multinervosa,Apocynaceae
11901,Philibertia tucumanensis,Apocynaceae
11985,Amaracarpus nouhuizii,Rubiaceae
11986,Crobylanthe pellacalyx,Rubiaceae
12022,Rudgea canephorantha,Rubiaceae
12031,Rothmannia talbotii,Rubiaceae
12142,Prismatomeris borneensis,Rubiaceae
12201,Halenia gracilis,Gentianaceae
12208,Halenia recurva,Gentianaceae
12214,Halenia brevicornis,Gentianaceae
12217,Ladenbergia acutifolia,Rubiaceae
12230,Gentianella narcissoides,Gentianaceae
12252,Gentianella tortuosa,Gentianaceae
12265,Tournefortiopsis hirsuta,Rubiaceae
12275,Gentianella selaginifolia,Gentianaceae
12279,Gentianella hypericoides,Gentianaceae
12298,Wendlandia pendula,Rubiaceae
12299,Stenotis asperuloides,Rubiaceae
12307,Thliphthisa microphylla,Rubiaceae
12319,Ladenbergia heterophylla,Rubiaceae
12323,Arcytophyllum setosum,Rubiaceae
12332,Vincetoxicum oligophyllum,Apocynaceae
12353,Molongum zschokkeiforme,Apocynaceae
12356,Vincetoxicum coddii,Apocynaceae
12358,Vincetoxicum josephrockii,Apocynaceae
12359,Gonzalagunia stenostachya,Rubiaceae
12362,Vincetoxicum cambodiense,Apocynaceae
12376,Orbea circes,Apocynaceae
12381,Kibatalia macgregorii,Apocynaceae
12385,Vincetoxicum liebianum,Apocynaceae
12390,Vincetoxicum taiwanense,Apocynaceae
12408,Vincetoxicum sarasinorum,Apocynaceae
12437,Vincetoxicum schmalhausenii,Apocynaceae
12439,Orbea ciliata,Apocynaceae
12441,Vincetoxicum uncinatum,Apocynaceae
12456,Saprosma fragrans,Rubiaceae
12459,Mesechites roseus,Apocynaceae
12489,Ophiorrhiza capitata,Rubiaceae
12492,Ophiorrhiza wangii,Rubiaceae
12495,Sabicea sanguinosa,Rubiaceae
12511,Ophiorrhiza vietnamensis,Rubiaceae
12513,Roraimaea coccinea,Gentianaceae
12547,Solenandra mexicana,Rubiaceae
12551,Oldenlandia bicornuta,Rubiaceae
12553,Sabicea asperula,Rubiaceae
12555,Ophiorrhiza coccinea,Rubiaceae
12558,Solenandra lineata,Rubiaceae
12573,Arachnothryx tuxtlensis,Rubiaceae
12582,Argostemma kurzii,Rubiaceae
12601,Arachnothryx megalantha,Rubiaceae
12603,Declieuxia tenuiflora,Rubiaceae
12623,Arachnothryx povedae,Rubiaceae
12642,Heinsia zanzibarica,Rubiaceae
12652,Arachnothryx rzedowskii,Rubiaceae
12837,Eumachia vaupelii,Rubiaceae
12941,Sinoswertia tetraptera,Gentianaceae
13662,Mucoa duckei,Apocynaceae
13701,Larsenaikia suffruticosa,Rubiaceae
13733,Oxyceros patulus,Rubiaceae
13800,Rytigynia neglecta,Rubiaceae
13815,Rytigynia gracilipetiolata,Rubiaceae
13822,Rytigynia beniensis,Rubiaceae
13827,Ruehssia lanata,Apocynaceae
13838,Ruehssia ecuadorensis,Apocynaceae
13845,Xanthophytum attopevense,Rubiaceae
13860,Ruehssia mollis,Apocynaceae
13861,Ruehssia gallardoae,Apocynaceae
13866,Ruehssia colombiana,Apocynaceae
13871,Chomelia parvifolia,Rubiaceae
13895,Chloropetalum obtusiflorum,Apocynaceae
13982,Nauclea diderrichii,Rubiaceae
13998,Coussarea panurensis,Rubiaceae
14009,Secamone letouzeana,Apocynaceae
14021,Ronabea isanae,Rubiaceae
14041,Pseudolithos dodsonianus,Apocynaceae
14047,Palicourea padifolia,Rubiaceae
14057,Palicourea argentinensis,Rubiaceae
14071,Palicourea egensis,Rubiaceae
14082,Palicourea vareschii,Rubiaceae
14101,Palicourea chrysotricha,Rubiaceae
14106,Palicourea tepuiensis,Rubiaceae
14107,Palicourea barnebyana,Rubiaceae
14152,Simira ecuadorensis,Rubiaceae
14224,Condaminea microcarpa,Rubiaceae
14255,Mycetia stipulata,Rubiaceae
14257,Piaranthus geminatus,Apocynaceae
14268,Didymosalpinx abbeokutae,Rubiaceae
14284,Hexasepalum scandens,Rubiaceae
14297,Condaminea corymbosa,Rubiaceae
14328,Tarenna grandiflora,Rubiaceae
14337,Tarenna gracilis,Rubiaceae
14374,Tarenna insularis,Rubiaceae
14387,Ditassa franciscoi,Apocynaceae
14412,Tarenna loheri,Rubiaceae
14437,Schradera elmeri,Rubiaceae
14441,Asclepias cordifolia,Apocynaceae
14451,Strychnos dalzellii,Loganiaceae
14484,Metastelma pauciflorum,Apocynaceae
14497,Metagentiana leptoclada,Gentianaceae
14504,Metastelma dorrii,Apocynaceae
14505,Metastelma hirtellum,Apocynaceae
14509,Lecananthus pentander,Rubiaceae
14554,Alafia multiflora,Apocynaceae
14555,Coptosperma borbonicum,Rubiaceae
14584,Ornichia madagascariensis,Gentianaceae
14661,Notopleura aligera,Rubiaceae
14691,Notopleura uliginosa,Rubiaceae
14707,Notopleura lateriflora,Rubiaceae
14715,Notopleura pithecobia,Rubiaceae
14792,Dolichopentas longiflora,Rubiaceae
14825,Finlaysonia lanuginosa,Apocynaceae
14827,Mandevilla hesperia,Apocynaceae
14862,Mandevilla scabra,Apocynaceae
14864,Mandevilla widgrenii,Apocynaceae
14875,Atractocarpus longipes,Rubiaceae
14904,Peponidium marojejyense,Rubiaceae
14933,Cynanchum leptolepis,Apocynaceae
14952,Cynanchum areysianum,Apocynaceae
14954,Cynanchum gilbertii,Apocynaceae
14963,Cynanchum revoilii,Apocynaceae
15007,Cynanchum brasiliense,Apocynaceae
15020,Gardenia flava,Rubiaceae
15026,Congolanthus longidens,Gentianaceae
15040,Stenostelma eustegioides,Apocynaceae
15052,Bertiera viburnoides,Rubiaceae
15071,Spigelia riedeliana,Loganiaceae
15074,Spigelia spruceana,Loganiaceae
15095,Plocama calcicola,Rubiaceae
15139,Stenostelma corniculatum,Apocynaceae
15144,Swertia swertopsis,Gentianaceae
15155,Ceropegia pachypodium,Apocynaceae
15162,Ceropegia mairei,Apocynaceae
15165,Plocama iljinii,Rubiaceae
15176,Psychotria hombroniana,Rubiaceae
15181,Psychotria lagunensis,Rubiaceae
15188,Psychotria oleifolia,Rubiaceae
15193,Psychotria puberulina,Rubiaceae
15208,Bathysa australis,Rubiaceae
15209,Psychotria berryi,Rubiaceae
15220,Psychotria bealananensis,Rubiaceae
15223,Galium undulatum,Rubiaceae
15232,Rogersonanthus arboreus,Gentianaceae
15243,Psychotria boenyana,Rubiaceae
15247,Psychotria integristipulata,Rubiaceae
15257,Psychotria desirei,Rubiaceae
15266,Caa balansae,Apocynaceae
15270,Psychotria moninensis,Rubiaceae
15324,Neonauclea bartlingii,Rubiaceae
15345,Manettia congesta,Rubiaceae
15354,Dictyophleba leonensis,Apocynaceae
15429,Empogona reflexa,Rubiaceae
15445,Bartonia paniculata,Gentianaceae
15456,Hedythyrsus thamnoideus,Rubiaceae
15459,Ixora blumei,Rubiaceae
15462,Pruskortizia macrocarpa,Apocynaceae
15466,Alyxia stellata,Apocynaceae
15470,Neurocalyx calycinus,Rubiaceae
15472,Ixora richardi-longii,Rubiaceae
15474,Ixora ferrea,Rubiaceae
15480,Ixora pubirama,Rubiaceae
15487,Ixora ravikumarii,Rubiaceae
15508,Ixora ridsdalei,Rubiaceae
15516,Bremeria pervillei,Rubiaceae
15534,Ixora paludosa,Rubiaceae
15539,Neolamarckia cadamba,Rubiaceae
15546,Cynanchica cristata,Rubiaceae
15550,Landolphia incerta,Apocynaceae
15557,Landolphia micrantha,Apocynaceae
15559,Picrophloeus rugulosus,Gentianaceae
15587,Hoya inflata,Apocynaceae
15602,Landolphia glabra,Apocynaceae
15614,Hedyotis rigida,Rubiaceae
15642,Cynanchica suffruticosa,Rubiaceae
15643,Landolphia bruneelii,Apocynaceae
15680,Cynanchica rigidula,Rubiaceae
15694,Schizacme novae-zelandiae,Loganiaceae
15715,Tabernaemontana polyneura,Apocynaceae
15742,Tabernaemontana glabra,Apocynaceae
15761,Gongronemopsis gazensis,Apocynaceae
15775,Tabernaemontana divaricata,Apocynaceae
15783,Tabernaemontana gamblei,Apocynaceae
15787,Hymenodictyon floribundum,Rubiaceae
15794,Oreopolus glacialis,Rubiaceae
16711,Pentanisia veronicoides,Rubiaceae
17209,Cascabela ovata,Apocynaceae
17213,Faramea suerrensis,Rubiaceae
18202,Funastrum elegans,Apocynaceae
18245,Utania stenophylla,Gentianaceae
18250,Utania volubilis,Gentianaceae
18253,Hunteria zeylanica,Apocynaceae
18498,Tripterospermum taiwanense,Gentianaceae
18507,Baissea axillaris,Apocynaceae
18508,Matelea greenmanii,Apocynaceae
18515,Canthium oblongum,Rubiaceae
18538,Periploca calophylla,Apocynaceae
18548,Motleyothamnus corymbosus,Rubiaceae
18559,Matelea porphyrantha,Apocynaceae
18569,Matelea squiresii,Apocynaceae
18703,Matelea sagittifolia,Apocynaceae
18767,Leichhardtia mackeeorum,Apocynaceae
18897,Spermacoce cataractarum,Rubiaceae
18969,Leichhardtia ambuntiensis,Apocynaceae
19007,Leichhardtia torsiva,Apocynaceae
19016,Leichhardtia velutina,Apocynaceae
19017,Leichhardtia praestans,Apocynaceae
19029,Spermacoce viridiflora,Rubiaceae
19062,Gonolobus heterophyllus,Apocynaceae
19123,Rennellia subsessilis,Rubiaceae
19138,Schmidtottia elliptica,Rubiaceae
19143,Schmidtottia sessilifolia,Rubiaceae
19160,Psydrax dunlapii,Rubiaceae
19190,Psydrax ficiformis,Rubiaceae
19219,Dischidia lanceolata,Apocynaceae
19222,Galianthe thalictroides,Rubiaceae
19226,Sabatia campanulata,Gentianaceae
19237,Scolosanthus triacanthus,Rubiaceae
19276,Pavetta salicina,Rubiaceae
19321,Adina pilulifera,Rubiaceae
19337,Debia rosettifolia,Rubiaceae
19343,Orianthera biloba,Loganiaceae
19354,Vidalasia morindifolia,Rubiaceae
19358,Prestonia cyaniphylla,Apocynaceae
19382,Dimetia prainiana,Rubiaceae
19533,Eumachia depauperata,Rubiaceae
20345,Guettardella tenuiflora,Rubiaceae
20350,Guettardella tayabensis,Rubiaceae
20389,Guettardella ternata,Rubiaceae
20393,Trachelospermum lucidum,Apocynaceae
20425,Guettardella affinis,Rubiaceae
20433,Guettardella attenuata,Rubiaceae
20476,Palicourea cuspidata,Rubiaceae
20480,Macrocarpaea cinchonifolia,Gentianaceae
20497,Palicourea celiae,Rubiaceae
20503,Palicourea horquetensis,Rubiaceae
20508,Palicourea nematostachya,Rubiaceae
20517,Palicourea toensis,Rubiaceae
20521,Carterella alexanderae,Rubiaceae
20525,Petchia montana,Apocynaceae
20535,Macrocarpaea glabra,Gentianaceae
20541,Palicourea mamillaris,Rubiaceae
20550,Palicourea tabayensis,Rubiaceae
20565,Vangueria discolor,Rubiaceae
20567,Neuburgia moluccana,Loganiaceae
20569,Heterostemma andersonii,Apocynaceae
20571,Palicourea psychotrioides,Rubiaceae
20575,Palicourea raveniana,Rubiaceae
20674,Simira maxonii,Rubiaceae
20703,Discospermum quocensis,Rubiaceae
20718,Matelea bicolor,Apocynaceae
20726,Matelea gentlei,Apocynaceae
20774,Matelea pseudobarbata,Apocynaceae
20784,Pauridiantha micrantha,Rubiaceae
20786,Matelea pubescens,Apocynaceae
20799,Matelea castanea,Apocynaceae
20827,Baissea floribunda,Apocynaceae
20829,Matelea flavidula,Apocynaceae
20839,Matelea capillacea,Apocynaceae
20848,Leichhardtia kebarensis,Apocynaceae
20891,Leichhardtia assimulata,Apocynaceae
20893,Spermacoce burchellii,Rubiaceae
20896,Spermacoce rosmarinifolia,Rubiaceae
20905,Leichhardtia ericoides,Apocynaceae
20911,Spermacoce densiflora,Rubiaceae
20944,Spermacoce octodon,Rubiaceae
20952,Spermacoce latituba,Rubiaceae
20963,Gyrandra blumbergiana,Gentianaceae
20967,Spermacoce malacophylla,Rubiaceae
20974,Macropharynx peltata,Apocynaceae
20975,Crossopteryx febrifuga,Rubiaceae
20976,Pachycarpus linearis,Apocynaceae
20983,Vangueriella glabrescens,Rubiaceae
21000,Vangueriella orthacantha,Rubiaceae
21059,Aspidoglossum glabrescens,Apocynaceae
21064,Pachycarpus stenoglossus,Apocynaceae
21071,Psydrax grandifolius,Rubiaceae
21075,Galianthe guaranitica,Rubiaceae
21088,Gynochthodes celebica,Rubiaceae
21090,Gynochthodes verticillata,Rubiaceae
21121,Timonius subavenis,Rubiaceae
21141,Cryptolepis sinensis,Apocynaceae
21146,Gynochthodes phyllireoides,Rubiaceae
21156,Galianthe valerianoides,Rubiaceae
21161,Morinda pacifica,Rubiaceae
21164,Dischidia rhodantha,Apocynaceae
21171,Gynochthodes calciphila,Rubiaceae
21177,Tassadia kamaensis,Apocynaceae
21202,Lasianthus gardneri,Rubiaceae
21274,Pseudodiplospora andamanica,Rubiaceae
21288,Dimetia capitellata,Rubiaceae
21296,Crucianella exasperata,Rubiaceae
21343,Kuepferia masonii,Gentianaceae
21355,Sisyranthus barbatus,Apocynaceae
21368,Payera bakeriana,Rubiaceae
21399,Randia tafallana,Rubiaceae
21405,Rustia costaricensis,Rubiaceae
21415,Araujia herzogii,Apocynaceae
21444,Parapentas setigera,Rubiaceae
21519,Philibertia multiflora,Apocynaceae
21529,Philibertia volcanensis,Apocynaceae
21534,Randia tetracantha,Rubiaceae
21546,Appunia morindoides,Rubiaceae
21569,Exallage auricularia,Rubiaceae
21589,× Hoodiotriche atlantica,Apocynaceae
21591,Calciphila galgalensis,Apocynaceae
21594,Rudgea sessilis,Rubiaceae
21596,Neocouma parviflora,Apocynaceae
21606,Exallage perhispida,Rubiaceae
21704,Elaeagia myriantha,Rubiaceae
21714,Clarkella nana,Rubiaceae
21724,Gentianella benedictae,Gentianaceae
21732,Arcytophyllum cachirense,Rubiaceae
21734,Gentianella cerina,Gentianaceae
21735,Thliphthisa mazanderanica,Rubiaceae
21743,Gentianella pernettyoides,Gentianaceae
21746,Sarcolobus merrillii,Apocynaceae
21751,Gentianella centamalensis,Gentianaceae
21763,Gentianella chrysosphaera,Gentianaceae
21767,Stenostomum multinerve,Rubiaceae
21783,Gentianella florida,Gentianaceae
21784,Gentianella oranensis,Gentianaceae
21792,Ladenbergia macrocarpa,Rubiaceae
21799,Arcytophyllum peruvianum,Rubiaceae
21804,Cionura erecta,Apocynaceae
21813,Gentianella antarctica,Gentianaceae
21830,Stenotis brevipes,Rubiaceae
21856,Kibatalia macrophylla,Apocynaceae
21860,Vincetoxicum caffrum,Apocynaceae
21895,Vincetoxicum flanaganii,Apocynaceae
21900,Vincetoxicum arabicum,Apocynaceae
21901,Orbea pulchella,Apocynaceae
21902,Stenaria butterwickiae,Rubiaceae
21907,Vincetoxicum yonakuniense,Apocynaceae
21941,Vincetoxicum himalaicum,Apocynaceae
21947,Vincetoxicum forrestii,Apocynaceae
21956,Vincetoxicum cinerascens,Apocynaceae
21982,Ophiorrhiza microcephala,Rubiaceae
21983,Oldenlandia peduncularis,Rubiaceae
21985,Oldenlandia lechleriana,Rubiaceae
21990,Pyrostria montana,Rubiaceae
21993,Sabicea oblongifolia,Rubiaceae
21994,Mesechites angustifolius,Apocynaceae
22035,Ophiorrhiza yangchunensis,Rubiaceae
22045,Pyrostria tulearensis,Rubiaceae
22056,Sabicea apocynacea,Rubiaceae
22060,Paracephaelis cinerea,Rubiaceae
22064,Ophiorrhiza ridsdalei,Rubiaceae
22081,Arachnothryx ginetteae,Rubiaceae
22089,Gentiana meiantha,Gentianaceae
22092,Chassalia petitiana,Rubiaceae
22097,Arachnothryx thiemei,Rubiaceae
22110,Chassalia subherbacea,Rubiaceae
22118,Arachnothryx izabalensis,Rubiaceae
22141,Chassalia chrysoclada,Rubiaceae
22144,Arachnothryx villosa,Rubiaceae
22796,Eumachia abrupta,Rubiaceae
24914,Eumachia ovoidea,Rubiaceae
25192,Eumachia viridicalyx,Rubiaceae
25602,Coffea kapakata,Rubiaceae
27907,Leptopetalum foetidum,Rubiaceae
29455,Ridsdalea attopevensis,Rubiaceae
29601,Coffea myrtifolia,Rubiaceae
30514,Zygostigma australe,Gentianaceae
33685,Bobea myrtoides,Rubiaceae
33719,Guettarda odorata,Rubiaceae
33737,Bobea timonioides,Rubiaceae
33742,Oxyceros kunstleri,Rubiaceae
33756,Oxyceros rugulosus,Rubiaceae
33820,Rytigynia nigerica,Rubiaceae
33824,Odontadenia semidigyna,Apocynaceae
33825,Ruehssia paraibana,Apocynaceae
33846,Forsteronia linearis,Apocynaceae
33852,Adolphoduckea maynensis,Rubiaceae
33859,Rytigynia congesta,Rubiaceae
33866,Ruehssia troyana,Apocynaceae
33867,Coutaportla ghiesbreghtiana,Rubiaceae
33868,Chomelia bella,Rubiaceae
33881,Chomelia longituba,Rubiaceae
33911,Ruehssia weddellii,Apocynaceae
33930,Carpacoce heteromorpha,Rubiaceae
33939,Schultesia guianensis,Gentianaceae
34063,Ditassa buntingii,Apocynaceae
34066,Paracarphalea angulata,Rubiaceae
34068,Ditassa colellae,Apocynaceae
34078,Ditassa longicaulis,Apocynaceae
34099,Oxypetalum polyanthum,Apocynaceae
34104,Saldinia boiviniana,Rubiaceae
34126,Urceola densiflora,Apocynaceae
34138,Tarenna stellulata,Rubiaceae
34159,Oxypetalum hoehnei,Apocynaceae
34172,Rubia tenuissima,Rubiaceae
34179,Tarenna maingayi,Rubiaceae
34201,Asclepias brevicuspis,Apocynaceae
34252,Deianira cordifolia,Gentianaceae
34257,Pseudolachnostoma brasiliense,Apocynaceae
34266,Eustoma russellianum,Gentianaceae
34368,Rauvolfia hookeri,Apocynaceae
34371,Leptostigma reptans,Rubiaceae
34373,Sherbournia millenii,Rubiaceae
34411,Frasera gypsicola,Gentianaceae
34497,Amphidasya ambigua,Rubiaceae
34533,Mandevilla longiflora,Apocynaceae
34537,Mandevilla bahiensis,Apocynaceae
34545,Atractocarpus benthamianus,Rubiaceae
34555,Dolichopentas lindenioides,Rubiaceae
34563,Mandevilla petraea,Apocynaceae
34591,Melodinus vitiensis,Apocynaceae
34622,Pittoniotis protracta,Rubiaceae
34631,Atractocarpus fitzalanii,Rubiaceae
34632,Cyclophyllum fragrans,Rubiaceae
34648,Atractocarpus obscurinervius,Rubiaceae
34668,Cynanchum malampayae,Apocynaceae
34672,Vallaris indecora,Apocynaceae
34673,Afrocanthium keniense,Rubiaceae
34689,Catunaregam oocarpa,Rubiaceae
34708,Telosma procumbens,Apocynaceae
34725,Catunaregam longispina,Rubiaceae
34726,Cynanchum antsiranense,Apocynaceae
34728,Cynanchum vanlessenii,Apocynaceae
34754,Afrocanthium pseudorandii,Rubiaceae
34780,Cynanchum daltonii,Apocynaceae
34824,Ceropegia tenuior,Apocynaceae
34828,Retiniphyllum laxiflorum,Rubiaceae
34851,Plocama jolana,Rubiaceae
34859,Neanotis gracilis,Rubiaceae
34864,Neanotis oxyphylla,Rubiaceae
34868,Ceropegia neo-omissa,Apocynaceae
34873,Swertia macrosperma,Gentianaceae
34878,Ceropegia montiphila,Apocynaceae
34884,Kadua nukuhivensis,Rubiaceae
34888,Kadua degeneri,Rubiaceae
34903,Psychotria mariniana,Rubiaceae
34927,Meyna pubescens,Rubiaceae
34940,Exochaenium perparvum,Gentianaceae
34943,Psychotria welwitschii,Rubiaceae
34947,Psychotria sellowiana,Rubiaceae
34950,Psychotria rosmarinifolia,Rubiaceae
34955,Psychotria srilankensis,Rubiaceae
34957,Psychotria semperflorens,Rubiaceae
34958,Psychotria andapae,Rubiaceae
34959,Psychotria ratovoarisonii,Rubiaceae
34969,Exochaenium oliganthum,Gentianaceae
34970,Larryleachia picta,Apocynaceae
34973,Psychotria luzoniensis,Rubiaceae
34982,Psychotria rubropedicellata,Rubiaceae
