,taxon_name,family
124,Anisopus exellii,Apocynaceae
5529,Scleromitrion tenuifolium,Rubiaceae
5602,Eumachia domatiicola,Rubiaceae
5618,Leptopetalum taiwanense,Rubiaceae
5974,Scleromitrion gibsonii,Rubiaceae
6624,Guettarda shaferi,Rubiaceae
6677,Malouetia arborea,Apocynaceae
6697,Strophanthus caudatus,Apocynaceae
6702,Forsteronia spicata,Apocynaceae
6704,Chomelia longiflora,Rubiaceae
6706,Ectadium rotundifolium,Apocynaceae
6711,Chomelia anisomeris,Rubiaceae
6718,Ruehssia weberbaueri,Apocynaceae
6723,Ruehssia bourgaeana,Apocynaceae
6730,Chomelia klugii,Rubiaceae
6743,Rytigynia umbellulata,Rubiaceae
6752,Ruehssia haitiensis,Apocynaceae
6760,Symbolanthus calygonus,Gentianaceae
6797,Neobertiera palustris,Rubiaceae
6809,Schenkia elegans,Gentianaceae
6814,Symbolanthus argyreus,Gentianaceae
6822,Micrechites serpyllifolius,Apocynaceae
6827,Didymosalpinx konguensis,Rubiaceae
6877,Tarenna alleizettei,Rubiaceae
6893,Rubia sylvatica,Rubiaceae
6911,Decalepis nervosa,Apocynaceae
6936,Urceola minutiflora,Apocynaceae
6950,Pentagonia amazonica,Rubiaceae
6989,Tarenna compactiflora,Rubiaceae
7057,Asclepias velutina,Apocynaceae
7074,Hoodia gordonii,Apocynaceae
7107,Schradera monocephala,Rubiaceae
7116,Alafia erythrophthalma,Apocynaceae
7144,Tavaresia barklyi,Apocynaceae
7147,Houstonia correllii,Rubiaceae
7169,Jasminanthes saxatilis,Apocynaceae
7171,Orthosia stannardii,Apocynaceae
7221,Rauvolfia semperflorens,Apocynaceae
7228,Houstonia acerosa,Rubiaceae
7237,Ornichia lancifolia,Gentianaceae
7271,Notopleura uberta,Rubiaceae
7311,Antirhea bifurcata,Rubiaceae
7340,Boucerosia indica,Apocynaceae
7357,Notopleura microbracteata,Rubiaceae
7361,Mandevilla vanheurckii,Apocynaceae
7371,Hippotis panamensis,Rubiaceae
7380,Isertia pittieri,Rubiaceae
7383,Atractocarpus confertus,Rubiaceae
7405,Mandevilla emarginata,Apocynaceae
7412,Mandevilla lanuginosa,Apocynaceae
7422,Sacleuxia newii,Apocynaceae
7423,Mandevilla glandulosa,Apocynaceae
7428,Irlbachia tatei,Gentianaceae
7429,Finlaysonia insularum,Apocynaceae
7446,Mandevilla spigeliiflora,Apocynaceae
7468,Atractocarpus pentagonioides,Rubiaceae
7493,Cyclophyllum coprosmoides,Rubiaceae
7519,Cynanchum eurychiton,Apocynaceae
7522,Afrocanthium racemulosum,Rubiaceae
7524,Lomatogonium caeruleum,Gentianaceae
7529,Cynanchum resiliens,Apocynaceae
7537,Cynanchum ellipticum,Apocynaceae
7547,Cynanchum floriferum,Apocynaceae
7556,Cynanchum messeri,Apocynaceae
7559,Peponidium boivinianum,Rubiaceae
7562,Afrocanthium shabanii,Rubiaceae
7569,Peponidium pervilleanum,Rubiaceae
7587,Himatanthus tarapotensis,Apocynaceae
7596,Peponidium celastroides,Rubiaceae
7610,Ceriscoides sessiliflora,Rubiaceae
7614,Ceropegia discoidea,Apocynaceae
7632,Valantia columella,Rubiaceae
7637,Ceropegia spaniflora,Apocynaceae
7660,Ceriscoides perakensis,Rubiaceae
7672,Ceropegia meyeriana,Apocynaceae
7693,Spigelia texana,Loganiaceae
7698,Plocama afghanica,Rubiaceae
7706,Spigelia stenocardia,Loganiaceae
7713,Spigelia macrophylla,Loganiaceae
7717,Swertia lurida,Gentianaceae
7725,Psychotria grandistipulata,Rubiaceae
7726,Psychotria puffii,Rubiaceae
7727,Psychotria bridsoniae,Rubiaceae
7736,Galium vile,Rubiaceae
7753,Psychotria costata,Rubiaceae
7758,Psychotria madagascariensis,Rubiaceae
7767,Psychotria alto-macahensis,Rubiaceae
7771,Galium diffusoramosum,Rubiaceae
7773,Galium kinuta,Rubiaceae
7774,Psychotria paradoxalis,Rubiaceae
7789,Psychotria bidentata,Rubiaceae
7801,Psychotria radicans,Rubiaceae
7808,Ptycanthera ovatifolia,Apocynaceae
7809,Psychotria calothyris,Rubiaceae
7813,Psychotria guianensis,Rubiaceae
7814,Galium moldavicum,Rubiaceae
7817,Hoppea fastigiata,Gentianaceae
7823,Psychotria psychotriifolia,Rubiaceae
7828,Psychotria brachylaena,Rubiaceae
7831,Psychotria bathieana,Rubiaceae
7859,Quaqua cincta,Apocynaceae
7880,Empogona coriacea,Rubiaceae
7901,Empogona aequatoria,Rubiaceae
7926,Asperula kotschyana,Rubiaceae
7940,Manettia secundiflora,Rubiaceae
7968,Quaqua parviflora,Apocynaceae
7970,Minaria lourteigiae,Apocynaceae
7981,Bremeria pilosa,Rubiaceae
8006,Ixora miquelii,Rubiaceae
8058,Bremeria scabridior,Rubiaceae
8082,Hedyotis pubescens,Rubiaceae
8087,Cynanchica boissieri,Rubiaceae
8098,Hedyotis hainanensis,Rubiaceae
8139,Cynanchica bryoides,Rubiaceae
8164,Hedyotis marginata,Rubiaceae
8170,Hedyotis rugosa,Rubiaceae
8191,Hedyotis barberi,Rubiaceae
8212,Leptactina angolensis,Rubiaceae
8257,Benkara pierrei,Rubiaceae
8270,Rosenbergiodendron longiflorum,Rubiaceae
8299,Megacodon venosus,Gentianaceae
8567,Machaonia ottonis,Rubiaceae
9967,Funastrum flavum,Apocynaceae
10813,Sericanthe petitii,Rubiaceae
10840,Chimarrhis cubensis,Rubiaceae
10898,Mitracarpus frigidus,Rubiaceae
10904,Palicourea pullei,Rubiaceae
10910,Palicourea megalantha,Rubiaceae
10927,Palicourea flaviflora,Rubiaceae
10933,Palicourea tacarcunensis,Rubiaceae
10945,Palicourea simiarum,Rubiaceae
10960,Secamone penangiana,Apocynaceae
10963,Willughbeia angustifolia,Apocynaceae
10974,Heterostemma disciflorum,Apocynaceae
10982,Palicourea luxurians,Rubiaceae
10989,Palicourea everardii,Rubiaceae
10990,Palicourea candelabrum,Rubiaceae
10991,Palicourea cairoana,Rubiaceae
10998,Gentianopsis simplex,Gentianaceae
11001,Petchia plectaneiifolia,Apocynaceae
11005,Palicourea vichadensis,Rubiaceae
11012,Gentianopsis lutea,Gentianaceae
11029,Coussarea graciliflora,Rubiaceae
11030,Palicourea boqueronensis,Rubiaceae
11031,Palicourea hyptoides,Rubiaceae
11059,Petalostelma roberti,Apocynaceae
11078,Pygmaeothamnus zeyheri,Rubiaceae
11147,Matelea rhamnifolia,Apocynaceae
