Anisopus exellii
Scleromitrion tenuifolium
Eumachia domatiicola
Leptopetalum taiwanense
Scleromitrion gibsonii
Guettarda shaferi
Malouetia arborea
Strophanthus caudatus
Forsteronia spicata
Chomelia longiflora
Ectadium rotundifolium
Chomelia anisomeris
Ruehssia weberbaueri
Ruehssia bourgaeana
Chomelia klugii
Rytigynia umbellulata
Ruehssia haitiensis
Symbolanthus calygonus
Neobertiera palustris
Schenkia elegans
Symbolanthus argyreus
Micrechites serpyllifolius
Didymosalpinx konguensis
Tarenna alleizettei
Rubia sylvatica
Decalepis nervosa
Urceola minutiflora
Pentagonia amazonica
Tarenna compactiflora
Asclepias velutina
Hoodia gordonii
Schradera monocephala
Alafia erythrophthalma
Tavaresia barklyi
Houstonia correllii
Jasminanthes saxatilis
Orthosia stannardii
Rauvolfia semperflorens
Houstonia acerosa
Ornichia lancifolia
Notopleura uberta
Antirhea bifurcata
Boucerosia indica
Notopleura microbracteata
Mandevilla vanheurckii
Hippotis panamensis
Isertia pittieri
Atractocarpus confertus
Mandevilla emarginata
Mandevilla lanuginosa
Sacleuxia newii
Mandevilla glandulosa
Irlbachia tatei
Finlaysonia insularum
Mandevilla spigeliiflora
Atractocarpus pentagonioides
Cyclophyllum coprosmoides
Cynanchum eurychiton
Afrocanthium racemulosum
Lomatogonium caeruleum
Cynanchum resiliens
Cynanchum ellipticum
Cynanchum floriferum
Cynanchum messeri
Peponidium boivinianum
Afrocanthium shabanii
Peponidium pervilleanum
Himatanthus tarapotensis
Peponidium celastroides
Ceriscoides sessiliflora
Ceropegia discoidea
Valantia columella
Ceropegia spaniflora
Ceriscoides perakensis
Ceropegia meyeriana
Spigelia texana
Plocama afghanica
Spigelia stenocardia
Spigelia macrophylla
Swertia lurida
Psychotria grandistipulata
Psychotria puffii
Psychotria bridsoniae
Galium vile
Psychotria costata
Psychotria madagascariensis
Psychotria alto-macahensis
Galium diffusoramosum
Galium kinuta
Psychotria paradoxalis
Psychotria bidentata
Psychotria radicans
Ptycanthera ovatifolia
Psychotria calothyris
Psychotria guianensis
Galium moldavicum
Hoppea fastigiata
Psychotria psychotriifolia
Psychotria brachylaena
Psychotria bathieana
Quaqua cincta
Empogona coriacea
Empogona aequatoria
Asperula kotschyana
Manettia secundiflora
Quaqua parviflora
Minaria lourteigiae
Bremeria pilosa
Ixora miquelii
Bremeria scabridior
Hedyotis pubescens
Cynanchica boissieri
Hedyotis hainanensis
Cynanchica bryoides
Hedyotis marginata
Hedyotis rugosa
Hedyotis barberi
Leptactina angolensis
Benkara pierrei
Rosenbergiodendron longiflorum
Megacodon venosus
Machaonia ottonis
Funastrum flavum
Sericanthe petitii
Chimarrhis cubensis
Mitracarpus frigidus
Palicourea pullei
Palicourea megalantha
Palicourea flaviflora
Palicourea tacarcunensis
Palicourea simiarum
Secamone penangiana
Willughbeia angustifolia
Heterostemma disciflorum
Palicourea luxurians
Palicourea everardii
Palicourea candelabrum
Palicourea cairoana
Gentianopsis simplex
Petchia plectaneiifolia
Palicourea vichadensis
Gentianopsis lutea
Coussarea graciliflora
Palicourea boqueronensis
Palicourea hyptoides
Petalostelma roberti
Pygmaeothamnus zeyheri
Matelea rhamnifolia
Matelea inconspicua
Pauridiantha liebrechtsiana
Matelea tigrina
Dictyanthus eximius
Pauridiantha pyramidata
Matelea picturata
Stephanotis abyssinica
