Acokanthera schimperi
Adenium multiflorum
Aganosma cymosa
Aganosma heynei
Alafia barteri
Alafia caudata
Alafia multiflora
Allamanda cathartica
Allamanda schottii
Alstonia angustifolia
Alstonia angustiloba
Alstonia boonei
Alstonia congensis
Alstonia constricta
Alstonia coriacea
Alstonia deplanchei
Alstonia lanceolifera
Alstonia legouixiae
Alstonia lenormandii
Alstonia longifolia
Alstonia macrophylla
Alstonia mairei
Alstonia muelleriana
Alstonia odontophora
Alstonia pneumatophora
Alstonia quaternata
Alstonia rostrata
Alstonia rupestris
Alstonia scholaris
Alstonia spatulata
Alstonia spectabilis
Alstonia sphaerocapitata
Alstonia venenata
Alstonia vieillardii
Alstonia yunnanensis
Alyxia stellata
Ambelania acida
Ambelania duckei
Amphineurion marginatum
Amsonia elliptica
Amsonia tabernaemontana
Anisopus mannii
Anodendron affine
Anodendron oblongifolium
Apocynum cannabinum
Apteranthes europaea
Araujia sericifera
Asclepias curassavica
Asclepias eriocarpa
Asclepias labriformis
Asclepias syriaca
Aspidosperma album
Aspidosperma auriculatum
Aspidosperma carapanauba
Aspidosperma cuspa
Aspidosperma cylindrocarpon
Aspidosperma desmanthum
Aspidosperma discolor
Aspidosperma eburneum
Aspidosperma illustre
Aspidosperma limae
Aspidosperma macrocarpon
Aspidosperma megalocarpon
Aspidosperma megaphyllum
Aspidosperma multiflorum
Aspidosperma nigricans
Aspidosperma oblongum
Aspidosperma obscurinervium
Aspidosperma olivaceum
Aspidosperma pachypterum
Aspidosperma parvifolium
Aspidosperma pichonianum
Aspidosperma polyneuron
Aspidosperma pyrifolium
Aspidosperma quebracho-blanco
Aspidosperma ramiflorum
Aspidosperma rigidum
Aspidosperma sandwithianum
Aspidosperma schultesii
Aspidosperma spruceanum
Aspidosperma subincanum
Aspidosperma tomentosum
Aspidosperma ulei
Bahiella infundibuliflora
Baissea axillaris
Beaumontia grandiflora
Boucerosia diffusa
Bousigonia angustifolia
Buckollia volubilis
Callichilia barteri
Callichilia subsessilis
Calotropis gigantea
Calotropis procera
Caralluma dalzielii
Carissa carandas
Carissa macrocarpa
Carissa spinarum
Cascabela thevetia
Catharanthus lanceus
Catharanthus longifolius
Catharanthus ovalis
Catharanthus pusillus
Catharanthus roseus
Catharanthus trichophyllus
Caudanthera edulis
Cerbera manghas
Cerbera odollam
Ceropegia bulbosa
Ceropegia juncea
Ceropegia media
Chloropetalum denticulatum
Chonemorpha fragrans
Cosmostigma cordatum
Craspidospermum verticillatum
Crioceras dipladeniiflorus
Cryptolepis apiculata
Cryptolepis buchananii
Cryptolepis capensis
Cryptolepis cryptolepioides
Cryptolepis decidua
Cryptolepis hypoglauca
Cryptolepis nigrescens
Cryptolepis oblongifolia
Cryptolepis obtusa
Cryptolepis sanguinolenta
Cynanchum otophyllum
Cynanchum wallichii
Cynanchum wilfordii
Decalepis arayalpathra
Decalepis hamiltonii
Dictyophleba lucida
Diplorhynchus condylocarpon
Dischidia formosana
Ditassa eximia
Ditassa lenheirensis
Dyera costulata
Echites panduratus
Echites umbellatus
Echites yucatanensis
Epigynum auritum
Eucorymbia alba
Fischeria stellata
Funtumia africana
Funtumia elastica
Galactophora schomburgkiana
Geissospermum laeve
Gongronemopsis latifolia
Gongronemopsis tenacissima
Gonioma kamassi
Gymnema decaisneanum
Gymnema elegans
Gymnema latifolium
Gymnema sylvestre
Gymnema yunnanense
Hancornia speciosa
Haplophyton crooksii
Hemidesmus indicus
Heterostemma brownii
Himatanthus articulatus
Himatanthus attenuatus
Himatanthus bracteatus
Himatanthus drasticus
Himatanthus revolutus
Himatanthus tarapotensis
Holarrhena congolensis
Holarrhena curtisii
Holarrhena floribunda
Holarrhena mitis
Holarrhena pubescens
Hoodia gordonii
Hunteria congolana
Hunteria umbellata
Hunteria zeylanica
Ichnocarpus frutescens
Ischnolepis natalensis
Jasminanthes mucronata
Kibatalia gitingensis
Kibatalia laurifolia
Kibatalia macrophylla
Kopsia arborea
Kopsia dasyrachis
Kopsia deverrei
Kopsia flavida
Kopsia fruticosa
Kopsia grandifolia
Kopsia griffithii
Kopsia hainanensis
Kopsia lapidilecta
Kopsia larutensis
Kopsia macrophylla
Kopsia pauciflora
Kopsia profunda
Kopsia singapurensis
Kopsia tenuis
Kopsia teoi
Landolphia buchananii
Landolphia lanceolata
Landolphia owariensis
Landolphia uniflora
Laubertia contorta
Leichhardtia rostrata
Leptadenia lanceolata
Leptadenia reticulata
Leuconotis eugeniifolia
Leuconotis griffithii
Macoubea guianensis
Macropharynx isthmica
Macropharynx peltata
Malouetia arborea
Malouetia bequaertiana
Malouetia glandulifera
Malouetia tamaquarina
Mandevilla boliviensis
Mandevilla sanderi
Marsdenia glabra
Marsdenia tinctoria
Marsdenia tomentosa
Melodinus acutiflorus
Melodinus aeneus
Melodinus angustifolius
Melodinus australis
Melodinus axillaris
Melodinus balansae
Melodinus cochinchinensis
Melodinus fusiformis
Melodinus philliraeoides
Melodinus reticulatus
Melodinus scandens
Melodinus tenuicaudatus
Metastelma harleyi
Minaria magisteriana
Mondia whitei
Motandra paniculata
Nerium oleander
Ochrosia acuminata
Ochrosia alyxioides
Ochrosia borbonica
Ochrosia coccinea
Ochrosia compta
Ochrosia elliptica
Ochrosia lifuana
Ochrosia miana
Ochrosia moorei
Ochrosia mulsantii
Ochrosia nakaiana
Ochrosia oppositifolia
Ochrosia poweri
Ochrosia silvatica
Oncinotis nitida
Oncinotis tenuiloba
Oxypetalum banksii
Pachypodium lamerei
Parahancornia fasciculata
Parsonsia alboflavescens
Parsonsia eucalyptophylla
Parsonsia heterophylla
Parsonsia oligantha
Parsonsia straminea
Pattalias palustris
Pentalinon luteum
Pentatropis capensis
Pentopetia albicans
Peplonia adnata
Pergularia daemia
Pergularia tomentosa
Periploca hydaspidis
Periploca linearifolia
Petchia ceylanica
Petchia cryptophlebia
Petchia erythrocarpa
Picralima nitida
Pleiocarpa mutica
Pleiocarpa rostrata
Pleioceras barteri
Plumeria alba
Plumeria obtusa
Plumeria pudica
Plumeria rubra
Prestonia amabilis
Prestonia amazonica
Prestonia coalita
Prestonia erecta
Prestonia megagros
Prestonia portobellensis
Prestonia quinquangularis
Pteralyxia laurifolia
Rauvolfia bahiensis
Rauvolfia balansae
Rauvolfia biauriculata
Rauvolfia caffra
Rauvolfia cambodiana
Rauvolfia cubana
Rauvolfia grandiflora
Rauvolfia ligustrina
Rauvolfia littoralis
Rauvolfia mannii
Rauvolfia media
Rauvolfia mombasiana
Rauvolfia nitida
Rauvolfia pentaphylla
Rauvolfia sandwicensis
Rauvolfia sellowii
Rauvolfia semperflorens
Rauvolfia serpentina
Rauvolfia sevenetii
Rauvolfia spathulata
Rauvolfia sprucei
Rauvolfia sumatrana
Rauvolfia tetraphylla
Rauvolfia verticillata
Rauvolfia viridis
Rauvolfia volkensii
Rauvolfia vomitoria
Rhazya stricta
Ruehssia edulis
Saba comorensis
Schizozygia coffeoides
Secamone afzelii
Secamone alpini
Skytanthus acutus
Solenostemma arghel
Stapelia hirsuta
Stephanotis volubilis
Streptocaulon juventas
Strophanthus eminii
Strophanthus hispidus
Strophanthus wallichii
Tabernaemontana alba
Tabernaemontana alternifolia
Tabernaemontana amygdalifolia
Tabernaemontana angulata
Tabernaemontana apoda
Tabernaemontana arborea
Tabernaemontana aurantiaca
Tabernaemontana bovina
Tabernaemontana brachyantha
Tabernaemontana bufalina
Tabernaemontana calcarea
Tabernaemontana capuronii
Tabernaemontana catharinensis
Tabernaemontana cerifera
Tabernaemontana citrifolia
Tabernaemontana coffeoides
Tabernaemontana contorta
Tabernaemontana coriacea
Tabernaemontana corymbosa
Tabernaemontana crassa
Tabernaemontana cymosa
Tabernaemontana debrayi
Tabernaemontana dichotoma
Tabernaemontana divaricata
Tabernaemontana donnell-smithii
Tabernaemontana eglandulosa
Tabernaemontana elegans
Tabernaemontana flavicans
Tabernaemontana glandulosa
Tabernaemontana heterophylla
Tabernaemontana humblotii
Tabernaemontana hystrix
Tabernaemontana laeta
Tabernaemontana linkii
Tabernaemontana litoralis
Tabernaemontana longipes
Tabernaemontana macrocarpa
Tabernaemontana markgrafiana
Tabernaemontana mocquerysi
Tabernaemontana odoratissima
Tabernaemontana oppositifolia
Tabernaemontana pachysiphon
Tabernaemontana pandacaqui
Tabernaemontana penduliflora
Tabernaemontana psorocarpa
Tabernaemontana retusa
Tabernaemontana rupicola
Tabernaemontana salzmannii
Tabernaemontana sananho
Tabernaemontana sessilifolia
Tabernaemontana siphilitica
Tabernaemontana solanifolia
Tabernaemontana sphaerocarpa
Tabernaemontana stapfiana
Tabernaemontana undulata
Tabernaemontana ventricosa
Tabernanthe iboga
Telosma pallida
Temnadenia odorifera
Temnadenia violacea
Trachelospermum asiaticum
Trachelospermum jasminoides
Urceola lucida
Urceola polymorpha
Urceola rosea
Vallaris glabra
Vallaris solanacea
Vallesia glabra
Vinca difformis
Vinca erecta
Vinca herbacea
Vinca major
Vinca minor
Vincetoxicum atratum
Vincetoxicum auriculatum
Vincetoxicum dalzellii
Vincetoxicum forrestii
Vincetoxicum hirsutum
Vincetoxicum hirundinaria
Vincetoxicum mongolicum
Vincetoxicum mukdenense
Vincetoxicum nigrum
Vincetoxicum pumilum
Vincetoxicum rossicum
Vincetoxicum spirale
Vincetoxicum tanakae
Voacanga africana
Voacanga bracteata
Voacanga chalotiana
Voacanga foetida
Voacanga globosa
Voacanga grandifolia
Voacanga megacarpa
Voacanga thouarsii
Wrightia arborea
Wrightia dubia
Wrightia karaketii
Wrightia pubescens
Wrightia tinctoria
Adina cordifolia
Adina eurhyncha
Adina multifolia
Adina pilulifera
Adina racemosa
Adina rubella
Adina trichotoma
Adolphoduckea maynensis
Agathisanthemum bojeri
Agathisanthemum globosum
Alibertia dwyeri
Alibertia edulis
Alibertia latifolia
Alseis blackiana
Amaioua glomerulata
Amaioua guianensis
Amaioua magnicarpa
Amaioua pedicellata
Anthospermum emirnense
Aoranthe cladantha
Arachnothryx bertieroides
Arachnothryx buddleioides
Arachnothryx chiriquiana
Arachnothryx secunda
Arcytophyllum lavarum
Argostemma yappii
Augusta longifolia
Bathysa australis
Bertiera bracteosa
Bertiera guianensis
Bothriospora corymbosa
Bouvardia ternifolia
Breonadia salicina
Breonia perrieri
Breonia sphaerantha
Calycophyllum candidissimum
Calycophyllum megistocaulum
Calycophyllum multiflorum
Calycophyllum spruceanum
Canthium coromandelicum
Canthium glaucum
Capirona macrophylla
Carapichea affinis
Carapichea ipecacuanha
Carapichea klugii
Catunaregam nilotica
Catunaregam spinosa
Catunaregam tomentosa
Cephalanthus glabratus
Cephalanthus natalensis
Cephalanthus occidentalis
Cephalanthus salicifolius
Cephalanthus tetrandrus
Chassalia curviflora
Chassalia kolly
Chassalia umbraticola
Chimarrhis cymosa
Chimarrhis hookeri
Chimarrhis parviflora
Chimarrhis turbinata
Chiococca alba
Chiococca belizensis
Chiococca phaenostemon
Chione venosa
Ciliosemina pedunculata
