Anisopus exellii
Scleromitrion tenuifolium
Eumachia domatiicola
Leptopetalum taiwanense
Scleromitrion gibsonii
Malouetia arborea
Ruehssia weberbaueri
Ruehssia bourgaeana
Ruehssia haitiensis
Neobertiera palustris
Micrechites serpyllifolius
Didymosalpinx konguensis
Decalepis nervosa
Boucerosia indica
Atractocarpus confertus
Atractocarpus pentagonioides
Peponidium celastroides
Ceropegia discoidea
Ceropegia spaniflora
Ceropegia meyeriana
Psychotria puffii
Psychotria madagascariensis
Ptycanthera ovatifolia
Psychotria guianensis
Ixora miquelii
Cynanchica boissieri
Cynanchica bryoides
Hedyotis marginata
Hedyotis rugosa
Rosenbergiodendron longiflorum
Palicourea pullei
Palicourea flaviflora
Palicourea tacarcunensis
Palicourea simiarum
Palicourea luxurians
Palicourea everardii
Palicourea candelabrum
Palicourea cairoana
Palicourea vichadensis
Palicourea boqueronensis
Palicourea hyptoides
Stephanotis abyssinica
Canthium thonningii
Leichhardtia connivens
Leichhardtia belensis
Leichhardtia variifolia
Leichhardtia papuana
Spermacoce suaveolens
Leichhardtia spathulata
Spermacoce johnwoodii
Stapeliopsis pillansii
Morilloa lutea
Orianthera campanulata
Geniostoma waialealae
Rudgea canephorantha
Prismatomeris borneensis
Tournefortiopsis hirsuta
Gentianella hypericoides
Wendlandia pendula
Stenotis asperuloides
Thliphthisa microphylla
Vincetoxicum oligophyllum
Vincetoxicum coddii
Vincetoxicum josephrockii
Gonzalagunia stenostachya
Vincetoxicum cambodiense
Vincetoxicum taiwanense
Vincetoxicum sarasinorum
Vincetoxicum uncinatum
Ophiorrhiza capitata
Ophiorrhiza wangii
Ophiorrhiza vietnamensis
Solenandra mexicana
Ophiorrhiza coccinea
Solenandra lineata
Eumachia vaupelii
Sinoswertia tetraptera
Ruehssia lanata
Ruehssia ecuadorensis
Ruehssia mollis
Ruehssia gallardoae
Ruehssia colombiana
Chloropetalum obtusiflorum
Coussarea panurensis
Pseudolithos dodsonianus
Palicourea argentinensis
Palicourea egensis
Palicourea vareschii
Palicourea tepuiensis
Palicourea barnebyana
Hexasepalum scandens
Strychnos dalzellii
Atractocarpus longipes
Cynanchum leptolepis
Cynanchum areysianum
Cynanchum revoilii
Stenostelma eustegioides
Spigelia spruceana
Ceropegia pachypodium
Psychotria bealananensis
Psychotria desirei
Caa balansae
Hedythyrsus thamnoideus
Pruskortizia macrocarpa
Neurocalyx calycinus
Ixora richardi-longii
Ixora ravikumarii
Cynanchica cristata
Cynanchica suffruticosa
Cynanchica rigidula
Tabernaemontana glabra
Gongronemopsis gazensis
Cascabela ovata
Utania volubilis
Matelea greenmanii
Motleyothamnus corymbosus
Leichhardtia mackeeorum
Leichhardtia ambuntiensis
Leichhardtia torsiva
Leichhardtia velutina
Leichhardtia praestans
Rennellia subsessilis
Debia rosettifolia
Orianthera biloba
Dimetia prainiana
Eumachia depauperata
Guettardella tenuiflora
Guettardella tayabensis
Guettardella ternata
Trachelospermum lucidum
Guettardella affinis
Guettardella attenuata
Palicourea celiae
Palicourea horquetensis
Palicourea nematostachya
Palicourea toensis
Carterella alexanderae
Palicourea mamillaris
Palicourea tabayensis
Heterostemma andersonii
Palicourea raveniana
Discospermum quocensis
Leichhardtia kebarensis
Leichhardtia assimulata
Leichhardtia ericoides
Spermacoce malacophylla
Macropharynx peltata
Crossopteryx febrifuga
