Anisopus exellii
Pachycarpus linearis
Pachycarpus stenoglossus
Dimetia capitellata
Kuepferia masonii
Randia tafallana
Parapentas setigera
Appunia morindoides
× Hoodiotriche atlantica
Neocouma parviflora
Thliphthisa mazanderanica
Vincetoxicum caffrum
Vincetoxicum flanaganii
Vincetoxicum arabicum
Stenaria butterwickiae
Vincetoxicum himalaicum
Vincetoxicum cinerascens
Ophiorrhiza microcephala
Pyrostria montana
Ophiorrhiza yangchunensis
Ophiorrhiza ridsdalei
Eumachia abrupta
Eumachia ovoidea
Eumachia viridicalyx
Ridsdalea attopevensis
Odontadenia semidigyna
Ruehssia paraibana
Adolphoduckea maynensis
Ruehssia troyana
Ruehssia weddellii
Urceola densiflora
Eustoma russellianum
Rauvolfia hookeri
Leptostigma reptans
Sherbournia millenii
Atractocarpus fitzalanii
Cyclophyllum fragrans
Cynanchum malampayae
Ceropegia tenuior
Ceropegia neo-omissa
Ceropegia montiphila
Psychotria sellowiana
Psychotria luzoniensis
Desmidorchis adenensis
Ferdinandusa elliptica
Ochreinauclea missionis
Canscora tetraptera
Tinadendron kajewskii
Pseudopyxis heterophylla
Cynanchica pyrenaica
Hedyotis gentianifolia
Gongronemopsis tenacissima
Edrastima trinervia
Paranotis pterospora
Scleromitrion pinifolium
Guettardella ioensis
Symphyllophyton sucreanum
Palicourea muscosa
Palicourea cyanococca
Palicourea blepharophora
Palicourea reticulata
Palicourea campyloneuroides
Palicourea imthurniana
Palicourea octocuspis
Palicourea rhodothamna
Palicourea trichophora
Palicourea amplectens
Richardia pectidifolia
Palicourea aschersoniana
Palicourea anisopoda
Palicourea piresii
Simira salvadorensis
Cordiera pilosa
Stephanotis volubilis
Leichhardtia brevis
Leichhardtia paulforsteri
Rennellia condensa
Psydrax approximatus
Cryptolepis javanica
Lasianthus hispidulus
Helia alata
Exallage cristata
Alibertia patinoi
Dolichocarpa spermacocoides
Gentianella lilliputiana
Sicyocarpus cordifolius
Wendlandia longidens
Gentianella albidocoerulea
Gentianella × macrocalyx
Tournefortiopsis dependens
Vincetoxicum belostemma
Vincetoxicum badium
Vincetoxicum rotundifolium
Vincetoxicum adnatum
Vincetoxicum leschenaultii
Vincetoxicum aristolochioides
Vincetoxicum laxiforme
Vincetoxicum henryanum
Ophiorrhiza longibracteata
Ophiorrhiza robbrechtii
Gentiana clarkei
Ridsdalea nigrescens
Chthamalia ojadapantha
Graciemoriana gracieae
Ruehssia pickelii
Ruehssia serpentina
Mycetia hirsuta
Peruviasclepias aliciae
Atrostemma riparium
Cynanchum socotranum
Ceropegia brevipedicellata
Ceropegia coddii
Psychotria charlotteana
Psychotria atsinanana
Psychotria crispulifolia
Desmidorchis foetida
Cynanchica carpatica
Gongronemopsis philippinensis
Eumachia rotundifolia
Eumachia paupertina
Palicourea zevallosii
Palicourea caerulea
Palicourea hyalina
Palicourea polymorpha
Palicourea tinctoria
Palicourea violacea
Palicourea obovata
Palicourea nautensis
Leichhardtia coronata
Leichhardtia rostrata
Leichhardtia rara
Leichhardtia glabrata
Leichhardtia millariae
Schmidtottia neglecta
Himalrandia tetrasperma
Gynochthodes suratmanii
Dischidia mariae
Scyphostelma serpyllifolium
Orianthera callosa
Helia viridiflora
Philibertia peruviana
Carapichea galbaoensis
Carapichea necopinata
Vincetoxicum biglandulosum
Vincetoxicum pierrei
Vincetoxicum tsiangii
Vincetoxicum silvestre
Vincetoxicum nanum
Vincetoxicum cernuum
Vincetoxicum indicum
Vincetoxicum shaanxiense
Vincetoxicum tsaii
Curtia intermedia
Xysmalobium carinatum
Pyrostria asosa
Eumachia albert-smithii
Ridsdalea eucodon
Eumachia pallidinervia
Eumachia aneityensis
Scleromitrion kerrii
Ridsdalea negrosensis
Ridsdalea vidalii
Eumachia haematocarpa
Hexaphylla rupestris
Malouetia guianensis
Ruehssia mayana
Ruehssia robinsonii
Ruehssia woodburyana
Ruehssia nana
Mycetia griffithii
Monolluma cicatricosa
Asclepias schumanniana
Asclepias pseudofimbriata
Artia lifuana
Mandevilla pubescens
Ceropegia elenaduensis
Ceropegia lancasteri
Ceropegia punctifera
Ceropegia cana
Ceropegia sandersoniana
Galium pseudorivale
Psychotria biloba
Empogona congesta
Ixora mattogrossensis
Ixora standleyana
Cynanchica tragacanthoides
Guettardella putaminosa
Chloropetalum surinamense
Palicourea stenostachya
Palicourea subundulata
Palicourea oresbia
Palicourea regina
Palicourea fissistipula
Palicourea urceolata
Palicourea vellerea
Palicourea ramonensis
Palicourea compta
Palicourea adenophora
Cordiera myrciifolia
Discospermum malaccense
Manostachya staelioides
Pauridiantha schumannii
Aidia vitiensis
Leichhardtia fraseri
Leichhardtia araujacea
Leichhardtia paludicola
Stapeliopsis exasperata
Cryptolepis africana
Orianthera centralis
Tassadia berteroanum
Echites speciosissimus
Villaria multibracteata
Halenia hypericoides
Tournefortiopsis cuatrecasasii
Tournefortiopsis torrana
Caralluma mouretii
Gentianella praecox
Vincetoxicum paniculatum
Gonzalagunia hirsuta
Ophiorrhiza bifida
Pyrostria obovatifolia
Oldenlandia platystipula
Ophiorrhiza coriaceifolia
Ruehssia hatschbachii
Ruehssia macroglossa
Ruehssia neomanarae
Ruehssia pringlei
Ruehssia oligantha
Ruehssia rzedowskiana
Apteranthes joannis
Hexasepalum mello-barretoi
Marsdenia minima
Schizocalyx sterculioides
Metagentiana melvillei
Caudanthera sinaica
Atractocarpus ngoyensis
Ceropegia gerrardii
Ceropegia mahajanii
Ceropegia tavalla
Ceropegia nigidiana
Ceropegia praelonga
Ptycanthera oblongata
Psychotria thonneri
Psychotria rubescens
Rubovietnamia sericantha
Bullockia dyscritos
Cynanchica oetaea
Landolphia tenuifolia
Cynanchica pestalozzae
Gongronemopsis calesiana
Eumachia samoana
Ochrosia glomerata
Guettardella hexasperma
Palicourea granvillei
Palicourea microcarpa
Palicourea liogieri
Cosmibuena macrocarpa
Palicourea brazaoi
Palicourea duidana
Palicourea bolivarensis
Palicourea hypochlorina
Lachnostoma montanum
Kupeantha pentamera
Kailarsenia campanula
Pauridiantha makakana
Pauridiantha chlorantha
Jobinia streptantha
Spermacoce cerradoana
Achilleanthus schmutzii
Dischidia incrassata
Morilloa carassensis
Adina trichotoma
Dimetia pitardiana
Salzmannia plowmanii
Rudgea viburnifolia
Dolichocarpa spathulata
Gentianella amabilis
Thliphthisa antalyensis
Vincetoxicum balakrishnanii
Vincetoxicum sylvaticum
Vincetoxicum coriaceum
Vincetoxicum tengii
Vincetoxicum miquelianum
Coutareopsis coutaportloides
Ophiorrhiza danxiashanensis
Solenandra angustifolia
Greenea schizocorolla
Gentiana carinata
Eumachia membranacea
Eumachia podocephala
Ridsdalea uvarioides
Hexaphylla pubescens
Eumachia archboldiana
Eumachia microdon
Ridsdalea thailandica
Mucoa pantchenkoana
Ruehssia gymnemoides
Ruehssia gillespieae
Coptosapelta hameliiblasta
Duplipetala pentanthera
Asclepias depressa
Metagentiana expansa
Urophyllum annamense
Rachicallis americana
Ceropegia seshachalamensis
Ceropegia ramosissima
Chamaepentas pseudomagnifica
Ceropegia flavida
Ceropegia inconspicuior
Ceropegia kerzneri
Psychotria trichocalyx
Psychotria belamboi
Psychotria montrouzieri
Exochaenium teuszii
Ixora vinniei
Cynanchica garganica
Cynanchica accrescens
Cynanchica breviflora
Ridsdalea grandis
Chloropetalum denticulatum
Palicourea plocamipes
Palicourea berteroana
Palicourea suerrensis
Palicourea dichroa
Palicourea subfusca
Palicourea longirostris
Palicourea juarezana
Palicourea fosbergii
Palicourea tapantiensis
Palicourea ownbeyi
Palicourea cypellantha
Palicourea brachiata
Cordiera garapatica
Cordiera rigida
Matelea pringlei
Discospermum coffeoides
Leichhardtia kaalaensis
Leichhardtia weberlingiana
Triainolepis xerophila
Leichhardtia tubulosa
Spermacoce congensis
Leichhardtia papillosa
Gonolobus latisinuatus
Orianthera flaviflora
Peplonia axillaris
Kuepferia sichitoensis
Tapanhuacanga laricoides
Appunia peduncularis
Thliphthisa semanensis
Gentianella × pamplinii
Vincetoxicum dorgelonis
Vincetoxicum iphisia
Vincetoxicum christineae
Macroscepis grandiflora
Vincetoxicum secamonoides
Vincetoxicum confusum
Vincetoxicum oculatum
Vincetoxicum cabulicum
Ophiorrhiza purpureocaerulea
Sabicea jacfelicis
Solenandra selleana
Eumachia lyciiflora
Ruehssia rupestris
Ruehssia suberosa
Hexasepalum apiculatum
Uncaria domatiifera
Atrostemma hadrostemmum
Atractocarpus nigricans
Peponidium bakerianum
Cynanchum brevipedicellatum
Cynanchum muricatum
Cynanchum rostellatum
Ceropegia occidens
Ceropegia elegantula
Ceropegia saldanhae
Ceropegia swarupa
Ceropegia cummingii
Psychotria bemarahensis
Psychotria brachypus
Galium hoffmeisteri
Minaria harleyi
Desmidorchis speciosa
Ixora longshanensis
Cynanchica wettsteinii
Cynanchica lactea
Cynanchica lutea
Adelphacme minima
Cynanchica inopinata
Benkara sinensis
Glossostipula blepharophylla
Scleromitrion polycladum
Ridsdalea venalis
Randia simillima
Guettardella paxillata
Aspidosperma reductum
Palicourea siccorubra
Coussarea suaveolens
Palicourea subcuspidata
Utania cuspidata
Polystemma cordifolium
Kailarsenia godefroyana
Macoubea sprucei
Leichhardtia nigriflora
Leichhardtia neocaledonica
Leichhardtia parva
Spermacoce eryngioides
Spermacoce neotenuis
Spermacoce rubescens
Argocoffeopsis subcordata
Macropharynx venusta
Galianthe spicata
Centaurium compar
Dimetia hedyotidea
Adina racemosa
Geniostoma hymenopodum
Geniostoma venosum
Villaria lanceolata
Tapanhuacanga intermedia
Oxyanthus tubiflorus
Vincetoxicum flexuosum
Voacanga lanceolata
Ophiorrhiza chuniana
Chassalia violascens
Eumachia damasiana
Machaonia erythrocarpa
Ridsdalea pseudoternifolia
Anisotoma natalensis
Ruehssia bergii
Ruehssia dictyophylla
Ruehssia phallica
Eumachia boliviana
Tocoyena cubensis
Sherbournia amaraliocarpa
Riparoampelos amazonicus
Sherbournia hapalophylla
Topea patens
Lygisma calcicola
Atrostemma manarae
Cynanchum radians
Ceropegia letestui
Ceropegia banforae
Ceropegia schultzei
Swertia schimperi
Ceropegia neocompta
Psychotria hootmawaapensis
Psychotria pseudaxillaris
Tromlyca locellata
Cynanchica littoralis
Hoya insularis
Hoya latifolia
Cynanchica nitida
Mussaenda sandakana
Brargentina bornmuelleri
Lacmellea peruviana
Scleromitrion leptocaule
Guettardella talaudensis
Pattalias palustris
Guettardella microphylla
Secamone lankawiensis
Ibatia warscewiczii
Palicourea chiapensis
Palicourea manausensis
Secamone lagenifera
Palicourea virgata
Palicourea woronovii
Palicourea viridibractea
Cordiera humilis
Kanapia wenzelii
Dictyanthus asper
Stephanotis faulknerae
Leichhardtia pumila
Leichhardtia variabilis
Spermacoce sphaerostigma
Nostolachma triflorum
Gynochthodes badia
Galianthe longifolia
Streptoechites chinensis
Adina malaccensis
Orianthera nuda
Anemotrochus eggersii
Echites asperoglottis
Tapanhuacanga goiasensis
Carapichea klugii
Airosperma trichotomum
Stenostomum acreanum
Thliphthisa baldaccii
Vincetoxicum anomalum
Vincetoxicum anthopotamicum
Vincetoxicum hui
Pyrostria subsessilifolia
Ophiorrhiza lii
Ophiorrhiza microphylla
Sabicea tersifolia
Arachnothryx bourgaei
Arachnothryx bertieroides
Eumachia carnea
Scleromitrion diffusum
Eumachia gossweileri
Chthamalia decumbens
Lisianthius perkinsiae
Ruehssia linearis
Ruehssia parvifolia
Ruehssia tressensiae
Schizocalyx peruvianus
Boucerosia crenulata
Atractocarpus deplanchei
Ceropegia angustata
Ceropegia attenuatula
Ceropegia ngomensis
Ceropegia delicata
Plocama reboudiana
Ceropegia malwanensis
Retiniphyllum speciosum
Ceropegia megasepala
Ceropegia merrilliana
Ceropegia cathcartensis
Ceropegia campanuliformis
Ceropegia modestantha
Ceropegia tabularia
Galium pierredmondii
Bullockia impressinervia
Empogona crepiniana
Cynanchica beckiana
Cynanchica capitellata
Eumachia oleoides
Orthanthera butayei
Palicourea sipapoensis
Palicourea apiculata
Palicourea forsteronioides
Palicourea oblita
Palicourea hoffmannseggiana
Palicourea aurantiibractea
Palicourea jauaensis
Palicourea soejartoi
Palicourea bertieroides
Vangueria ferruginea
Palicourea tenerior
Palicourea goyazensis
Cordiera obtusa
Simira alba
Kupeantha fosimondi
Baissea congensis
Pauridiantha crystallina
Motandra paniculata
Centaurium × aschersonianum
Geniostoma waiolani
Paralasianthus dichotomus
Phaeostemma fucata
Rudgea rondeletioides
Tapanhuacanga cururuensis
Tapanhuacanga asparagoides
Gentianella obtusifolia
Thliphthisa pusilla
Wendlandia syringoides
Gongreos wallichii
Cyrtophyllum giganteum
Vincetoxicum glaucirameum
Vincetoxicum pictum
Vincetoxicum heterophyllum
Voacanga gracilipes
Vincetoxicum roylei
Oldenlandia yunnanensis
Solenandra cordata
Solenandra triflora
Chassalia pauciflora
Acranthera longipetiolata
Ruehssia edulis
Ruehssia magallanesiana
Ruehssia thomasii
Ruehssia nubicola
Ruehssia asplundii
Ruehssia smithii
Apteranthes europaea
Mycetia parviflora
Asclepias alpestris
Sherbournia bignoniiflora
Urophyllum corymbosum
Caudanthera mireillae
Chiococca motleyana
Catunaregam torulosa
Cynanchum alternilobum
Ceropegia stenifolia
Ceropegia nephroloba
Ceropegia decipientiflora
Exallage lapeyrousei
Appunia tenuiflora
Helictosperma malacophyllum
Galium magnifolium
Galium humilioides
Psychotria josephi
Desmidorchis edithae
× Staparesia meintjesii
Capirona macrophylla
Cynanchica markothensis
Cynanchica rupicola
Cynanchica × jordanii
Paranotis mitrasacmoides
Thliphthisa pseudochlorantha
Wendlandia coriacea
Callipeltis factorovskyi
Vincetoxicum gracilentum
Vincetoxicum brassii
Stenaria mullerae
Vincetoxicum dalatense
Vincetoxicum fasciculatum
Vincetoxicum rupicola
Vincetoxicum forsteri
Vincetoxicum subramanii
Vincetoxicum tenuipedunculatum
Ophiorrhiza umbelliformis
Ophiorrhiza luochengensis
Ophiorrhiza yamashitae
Kamettia caryophyllata
Pyrostria verdcourtii
Palicourea schlimii
Palicourea aetantha
Ibatia maritima
Palicourea deneversii
Palicourea orientensis
Palicourea crocochlamys
Vangueria vestita
Kailarsenia lineata
Polystemma guatemalense
Leichhardtia dischidioides
Hoffmannia discolor
Pachycarpus chirindensis
Macropharynx conflictiva
Gonolobus hystrix
Gynochthodes scortechinii
Orianthera tortuosa
Adina fagifolia
Geniostoma gaudichaudii
Geniostoma helleri
Knoxia lineata
Thiollierea montana
Cristobalia australis
Hintonia lumana
Halenia grandiflora
Gentianella dilatata
Thliphthisa apuana
Vincetoxicum helferi
Vincetoxicum hemsleyanum
Vincetoxicum williamsii
Vincetoxicum tridactylatum
Vincetoxicum neglectum
Vincetoxicum cameroonicum
Vincetoxicum parvum
Ophiorrhiza jingxiensis
Eumachia amoena
Eumachia parviflora
Ridsdalea vietnamensis
Eumachia obovoidea
Hexaphylla cretacea
Eumachia inconspicua
Ridsdalea lagunensis
Ruehssia clausa
Ruehssia virgultorum
Didymosalpinx lanciloba
Asketanthera longiflora
Mondia ecornuta
Decalepis khasiana
Ceropegia rehmannii
Swertia diluta
Ceropegia buchananii
Stenostelma periglossoides
Psychotria schatzii
Psychotria euosma
Psychotria harmandiana
Steenisia borneensis
Pruskortizia dasytricha
Cynanchica pumila
Planaltina angustata
Eumachia cephalantha
Eumachia deinocalyx
Eumachia cymuligera
Guettardella surigaoensis
Palicourea fusiformis
Palicourea cardiomorpha
Palicourea scabrifolia
Palicourea paradichroa
Palicourea bracteocardia
Ibatia pacifica
Palicourea longicuspis
Palicourea spadicea
Palicourea persearum
Palicourea huampamiensis
Palicourea acicularis
Palicourea agudeloana
Palicourea valeriana
Palicourea dolichantha
Palicourea pseudinundata
Palicourea timbiquensis
Gentianopsis victorinii
Cordiera elliptica
Matelea hastulata
Baissea subsessilis
Matelea angustifolia
Leichhardtia kempteriana
Leichhardtia viridiflora
Leichhardtia flavescens
Leichhardtia micradenia
Schmidtottia involucrata
Achilleanthus hypolasius
Achilleanthus megacarpus
Psydrax lucidulus
Helia acutangula
Colletoecema tortistilum
Paralasianthus lowianus
Tapanhuacanga psyllocarpoides
Thliphthisa baenitzii
Tournefortiopsis crispiflora
Stenaria pooleana
Vincetoxicum kenouriense
Vincetoxicum robinsonii
Vincetoxicum philippicum
Vincetoxicum bilobatum
Pyrostria andringitrensis
Ophiorrhiza xiei
Ophiorrhiza flava
Pentanisia monticola
Ridsdalea macromera
Eumachia saidoriensis
Anodendron parviflorum
Ridsdalea uranthera
Eumachia oncocarpa
Ophiorrhiza pengshuiensis
Solenandra myrtifolia
Chthamalia producta
Dibridsonia oblongifolia
Ruehssia saturejifolia
Ruehssia umbellata
Ruehssia condensiflora
Ruehssia tubularis
Oxypetalum macrolepis
Orthosia guilleminiana
Atractocarpus baladicus
Lomatogonium diffusum
Catunaregam stipulosa
Ceropegia neofurcata
Ceropegia megamalayana
Ceropegia gemmea
Ceropegia penchalakonensis
Ceropegia bikitaensis
Psychotria vololoniaina
Psychotria guillauminiana
Desmidorchis aucheriana
Cynanchica lycia
Cynanchica kemulariae
Hedyotis benguetensis
Cynanchica gussonei
Ridsdalea wittii
Guettardella buruana
Palicourea kaieteurensis
Palicourea costanensis
Palicourea veracruzensis
Palicourea bangii
Palicourea formosissima
Palicourea leiantha
Palicourea cenepensis
Heterostemma maculatum
Palicourea tonduzii
Palicourea potaroensis
Palicourea gaitalensis
Spermacoce thymocephala
Leichhardtia globosa
Leichhardtia bilobata
Microplumeria anomala
Psydrax merrillii
Randia mollis
Cicendia quadrangularis
Gymnema stramineum
Gymnema graniticola
Alibertia venezuelensis
Carapichea maturacensis
Alibertia tessmannii
Dolichocarpa argillacea
Stenostomum resinosum
Gentianella crassicaulis
Sarcolobus pepo
Gongreos filipes
Vincetoxicum microstachys
Vincetoxicum somaliense
Foonchewia coriacea
Vincetoxicum mairei
Vincetoxicum cordatum
Vincetoxicum matsumurae
Vincetoxicum lineare
Ophiorrhiza balansae
Ophiorrhiza caespitosa
Solenandra stenophylla
Pyrostria ramosii
Ruehssia dussii
Ruehssia ludani
Ruehssia suffruticosa
Ruehssia vinciflora
Ruehssia cundurango
Ruehssia lauretiana
Ruehssia microcarpa
Micrechites lancifolius
Monolluma solenophora
Marsdenia papuana
Tarenna seemanniana
Urophyllum kinabaluense
Atractocarpus pterocarpon
Atrostemma melinii
Cynanchum insulanum
Ceropegia johnstonii
Desmidorchis arabica
Asperula × portae
Hexaphylla allionii
Mitracarpus polygonifolius
Guettardella edanoi
Palicourea botryocephala
Coussarea albescens
Secamone minutiflora
Palicourea phaneroloma
Palicourea angustiflora
Vangueria coerulea
Palicourea scandens
Palicourea glabra
Palicourea tricephala
Palicourea malaneoides
Palicourea correae
Palicourea goldmanii
Palicourea lourteigiana
Palicourea minutiflora
Palicourea manaraeana
Tripterospermum alutaceofolium
Stephanotis macrantha
Pauridiantha cauliflora
Leichhardtia trilobata
Leichhardtia arfakensis
Leichhardtia destituta
Leichhardtia microlepis
Dischidia luzonica
Psydrax sumatranus
Dimetia ridleyana
Pavetta multiflora
Geniostoma hosakanum
Pleiocarpa pycnantha
Kuepferia hicksii
Talayotea caudata
Gymnema lactiferum
Villaria purpurea
Villaria coriacea
Gymnema erectum
Gentianella rhaetica
Vincetoxicum grandiflorum
Oldenlandia lactea
Ophiorrhiza glandulosa
Solenandra velutina
Ophiorrhiza arunachalensis
Eumachia huallagae
Eumachia membranifolia
Eumachia schmielei
Eumachia sciadephora
Lagenanthus princeps
Scleromitrion galioides
Eumachia galorei
Ridsdalea leytensis
Eumachia coffeosperma
Eumachia incompta
Mouretia inaequalis
Genianthus micranthus
Ramonadoxa cubensis
Artia francii
Ceropegia minima
Ceropegia neoarachnoidea
Ceropegia huttonii
Ceropegia perdita
Plocama calycoptera
Spigelia heliotropioides
Psychotria nuda
Galium beckhausianum
Meyna tetraphylla
Epigynum cochinchinensis
Epigynum graciliflorum
Empogona ngalaensis
Desmidorchis somalica
Steenisia corollina
Huernia reticulata
Cynanchica glareosa
Pseudogalium paradoxum
Eumachia poggei
Donnellyanthus deamii
Wandersong exserta
Palicourea turbinella
Palicourea costularia
Palicourea triadica
Palicourea pakaraimensis
Palicourea longiinvolucrata
Vangueria fuscosetulosa
Palicourea araguana
Palicourea tomentosa
Palicourea apoda
Ibatia sartago-diaboli
Palicourea campylopoda
Palicourea chiriquiensis
Palicourea pervicax
Palicourea paulina
Leichhardtia longiloba
Leichhardtia gonoloboides
Leichhardtia dognyensis
Leichhardtia argillicola
Leichhardtia subglobosa
Macropharynx abnorma
Gonolobus calcaratus
Timonius anodon
Psydrax gynochthodes
Cristobalia hispida
Carapichea affinis
Tapanhuacanga scatignae
Stenostomum urbanianum
Wendlandia proxima
Thliphthisa gorganica
Vincetoxicum gracillimum
Vincetoxicum silvestrii
Remijia macrocnemia
Vincetoxicum thorelii
Solenandra brachycarpa
Oreosparte parviflora
Ophiorrhiza shae
Eumachia forsteriana
Rhabdadenia madida
Scleromitrion brachypodum
Ruehssia steyermarkii
Ruehssia veronicae
Ruehssia minutiflora
Ruehssia zehntneri
Ruehssia stephanotidifolia
Pentanopsis gracilicaulis
Ruehssia elliptica
Ruehssia amylacea
Ruehssia sprucei
Schizocalyx multiflorus
Asclepias eminens
Asclepias longissima
Veratrilla burkilliana
Asclepias buchwaldii
Topea micrantha
Notopleura parasitica
Cynanchum fragrans
Peponidium ovato-oblongum
Ceropegia matthewiana
Stigmatorhynchus umbellifer
Ceropegia daverichardsii
Ceropegia setosa
Ceropegia minor
Ceropegia schizoglossoides
Ceropegia rapinatiana
Ceropegia gracilior
Psychotria saccata
Psychotria lehmbachii
Kohautia attenuata
Empogona gossweileri
Neonauclea purpurea
Cynanchica tenella
Cynanchica graveolens
Cynanchica paui
Scleromitrion scleranthoides
Guettardella benguetensis
Palicourea pedunculata
Palicourea vesciculifera
Palicourea ruelliifolia
Palicourea callithrix
Palicourea hebeclada
Palicourea deflexa
Joosia sericea
Palicourea campyloneura
Utania racemosa
Argocoffeopsis scandens
Leichhardtia bliriensis
Gonolobus chiriquensis
Macropharynx peruviana
Galianthe palustris
Timonius balansanus
Geniostoma triflorum
Tapanhuacanga bahiensis
Appunia longipedunculata
Sarcolobus secamonoides
Vincetoxicum gilletii
Vincetoxicum arachnoideum
Vincetoxicum hellwigii
Vincetoxicum sui
Vincetoxicum rupestre
Vincetoxicum microcentrum
Lemyrea ciliolata
Pyrostria elmeri
Ophiorrhiza qinii
Ruehssia stevensiana
Ruehssia naiguatensis
Ruehssia dorothyae
Ruehssia megalantha
Ruehssia spiralis
Ruehssia carterae
Ruehssia cuixmalensis
Ruehssia oaxacana
Ruehssia otoniensis
Hexasepalum sarmentosum
Apteranthes munbyana
Hexasepalum rosmarinifolium
× Hoodiorbea triebneri
Marsdenia crocea
Dischidanthus thyrsiflorus
Orthosia florida
Caudanthera baradii
Ceropegia vahrmeijeri
Ceropegia lankana
Ceropegia chlorozona
Ceropegia pullaiahiana
Ceropegia sabuliphila
Galium pilosissimum
Psychotria tsiandroi
Fockea sinuata
Bullockia mombazensis
Cynanchica idaea
Strempeliopsis strempelioides
Hedyotis rosmarinifolia
Cynanchica tephrocarpa
Cynanchica lilaciflora
Edrastima cephalotes
Eumachia montana
Guettardella rhamnoides
Guettardella bombysia
Palicourea vallis
Palicourea domingensis
Palicourea schunkeana
Palicourea dichotoma
Palicourea debilis
Palicourea patens
Palicourea obconica
Ibatia hirta
Palicourea alloantha
Palicourea acuminata
Cordiera killipii
Kupeantha spathulata
Cordiera concolor
Stephanotis brevisquama
Pauridiantha arcuata
Argocoffeopsis lemblinii
Argocoffeopsis eketensis
Dischidia rostrata
Anemotrochus viridivenius
Geniostoma pumilum
Carapichea dolichophylla
Rudgea ventuariana
Carapichea fimbriflora
Villaria glomerata
Rudgea sanmartensis
Carapichea ligularis
Thliphthisa rupestris
Vincetoxicum govanii
Vincetoxicum oshimae
Vincetoxicum sootepense
Vincetoxicum inhambanense
Vincetoxicum pilosellum
Vincetoxicum nicobaricum
Macroscepis schreiteri
Suberogerens cyclophylla
Vincetoxicum hirsutum
Vincetoxicum gilbertii
Ophiorrhiza nonggangensis
Ophiorrhiza ophiorrhizoides
Eumachia hassleriana
Scleromitrion subulatum
Coelospermum volubile
Eumachia cupulicalyx
Eumachia trichostoma
Calycophyllum megistocaulum
